,method,eps,fake_iou,perturbation,lb_box,ub_box,IoU_vanilla,tmps_vanilla,IoU_extension,tmps_extension
0,IBP+backward (CROWN-IBP),0.0,False,whitenoise,"[4.512512, 3.9449744, 32.72013, 32.084766]","[4.512512, 3.9449744, 32.72013, 32.084766]","[0.9682766659219946, 0.9682766659219946]",6.127357482910156e-05,"[0.9682766795158386, 0.9682767]",0.00744175910949707
1,IBP+backward (CROWN-IBP),0.0,False,whitenoise_xLxU,"[4.512512, 3.9449744, 32.72013, 32.084766]","[4.512512, 3.9449744, 32.72013, 32.084766]","[0.9682766659219946, 0.9682766659219946]",5.507469177246094e-05,"[0.9682766795158386, 0.9682767]",0.007559061050415039
2,IBP+backward (CROWN-IBP),0.0,False,brightness,"[4.512512, 3.9449744, 32.72013, 32.084766]","[4.512512, 3.9449744, 32.72013, 32.084766]","[0.9682766659219946, 0.9682766659219946]",6.699562072753906e-05,"[0.9682766795158386, 0.9682767]",0.006556034088134766
3,IBP+backward (CROWN-IBP),0.0,False,CGT_brightness_clamp,"[4.512512, 3.9449744, 32.72013, 32.084766]","[4.512512, 3.9449744, 32.72013, 32.084766]","[0.9682766659219946, 0.9682766659219946]",4.601478576660156e-05,"[0.9682766795158386, 0.9682767]",0.007059812545776367
4,IBP+backward (CROWN-IBP),0.0,False,CGT_brightness,"[4.512512, 3.9449744, 32.72013, 32.084766]","[4.512512, 3.9449744, 32.72013, 32.084766]","[0.9682766659219946, 0.9682766659219946]",4.506111145019531e-05,"[0.9682766795158386, 0.9682767]",0.00609898567199707
5,IBP+backward (CROWN-IBP),0.0002,False,whitenoise,"[4.164975, 3.6295378, 32.21363, 31.568272]","[5.209242, 4.6329327, 34.66057, 34.095444]","[0.737922039370599, 1]",5.984306335449219e-05,"[0.8363662958145142, 1.0]",0.007632017135620117
6,IBP+backward (CROWN-IBP),0.0002,False,whitenoise_xLxU,"[4.164975, 3.6295378, 32.21363, 31.568272]","[5.209242, 4.6329327, 34.66057, 34.095444]","[0.737922039370599, 1]",5.4836273193359375e-05,"[0.8363662958145142, 1.0]",0.007425069808959961
7,IBP+backward (CROWN-IBP),0.0002,False,brightness,"[4.1868916, 3.6537714, 32.27901, 31.64112]","[5.1966076, 4.621323, 34.644424, 34.078735]","[0.7475276110169103, 1]",5.602836608886719e-05,"[0.8381863832473755, 1.0]",0.007200002670288086
8,IBP+backward (CROWN-IBP),0.0002,False,CGT_brightness_clamp,"[4.3358064, 3.789393, 32.417233, 31.77682]","[4.8167157, 4.241414, 33.56018, 32.944138]","[0.8568355236223555, 1]",8.893013000488281e-05,"[0.9181059002876282, 0.9934967]",0.006333112716674805
9,IBP+backward (CROWN-IBP),0.0002,False,CGT_brightness,"[4.164975, 3.6295378, 32.21363, 31.568272]","[5.209242, 4.6329327, 34.66057, 34.095444]","[0.737922039370599, 1]",4.601478576660156e-05,"[0.8363662958145142, 1.0]",0.006271839141845703
10,IBP+backward (CROWN-IBP),0.0004,False,whitenoise,"[3.6273918, 3.1647692, 31.505407, 30.908459]","[6.20587, 5.6722145, 37.305775, 36.82062]","[0.49918736509969563, 1]",7.081031799316406e-05,"[0.6726997494697571, 1.0]",0.007624149322509766
11,IBP+backward (CROWN-IBP),0.0004,False,whitenoise_xLxU,"[3.6273918, 3.1647692, 31.505407, 30.908459]","[6.20587, 5.6722145, 37.305775, 36.82062]","[0.49918736509969563, 1]",5.4836273193359375e-05,"[0.6726997494697571, 1.0]",0.007525205612182617
12,IBP+backward (CROWN-IBP),0.0004,False,brightness,"[3.6737382, 3.2160373, 31.641285, 31.058752]","[6.1795964, 5.6486382, 37.272366, 36.786667]","[0.511473344521207, 1]",5.602836608886719e-05,"[0.6754551529884338, 1.0]",0.0072171688079833984
13,IBP+backward (CROWN-IBP),0.0004,False,CGT_brightness_clamp,"[4.1422234, 3.5997226, 32.09906, 31.444962]","[5.1832347, 4.603554, 34.527927, 33.95615]","[0.734248632739153, 1]",4.8160552978515625e-05,"[0.844081699848175, 1.0]",0.0065288543701171875
14,IBP+backward (CROWN-IBP),0.0004,False,CGT_brightness,"[3.6273918, 3.1647692, 31.505407, 30.908459]","[6.20587, 5.6722145, 37.305775, 36.82062]","[0.49918736509969563, 1]",4.8160552978515625e-05,"[0.6726997494697571, 1.0]",0.006392955780029297
15,IBP+backward (CROWN-IBP),0.0006000000000000001,False,whitenoise,"[2.935223, 2.5361793, 30.569407, 30.049091]","[7.7650385, 7.0579295, 40.96529, 40.289555]","[0.30923611692096176, 1]",6.222724914550781e-05,"[0.5003728866577148, 1.0]",0.007659912109375
16,IBP+backward (CROWN-IBP),0.0006000000000000001,False,whitenoise_xLxU,"[2.935223, 2.5361793, 30.569407, 30.049091]","[7.7650385, 7.0579295, 40.96529, 40.289555]","[0.30923611692096176, 1]",5.91278076171875e-05,"[0.5003728866577148, 1.0]",0.007311820983886719
17,IBP+backward (CROWN-IBP),0.0006000000000000001,False,brightness,"[3.0052583, 2.6128216, 30.774199, 30.274944]","[7.7242527, 7.0223494, 40.91494, 40.238533]","[0.3200958317385678, 1]",5.5789947509765625e-05,"[0.502994954586029, 1.0]",0.007165193557739258
18,IBP+backward (CROWN-IBP),0.0006000000000000001,False,CGT_brightness_clamp,"[3.937888, 3.417469, 31.775013, 31.124418]","[5.529898, 4.9649825, 35.427658, 34.9001]","[0.6305497462790547, 1]",5.1975250244140625e-05,"[0.7806581854820251, 1.0]",0.006314992904663086
19,IBP+backward (CROWN-IBP),0.0006000000000000001,False,CGT_brightness,"[2.935223, 2.5361793, 30.569407, 30.049091]","[7.7650385, 7.0579295, 40.96529, 40.289555]","[0.30923611692096176, 1]",5.078315734863281e-05,"[0.5003728866577148, 1.0]",0.006017208099365234
20,IBP+backward (CROWN-IBP),0.0008,False,whitenoise,"[2.014842, 1.8156836, 29.421604, 29.14087]","[9.668068, 8.824883, 45.26743, 44.588634]","[0.17974092080985396, 1]",6.079673767089844e-05,"[0.35657063126564026, 1.0]",0.007543087005615234
21,IBP+backward (CROWN-IBP),0.0008,False,whitenoise_xLxU,"[2.014842, 1.8156836, 29.421604, 29.14087]","[9.668068, 8.824883, 45.26743, 44.588634]","[0.17974092080985396, 1]",5.817413330078125e-05,"[0.35657063126564026, 1.0]",0.007311105728149414
22,IBP+backward (CROWN-IBP),0.0008,False,brightness,"[2.1072013, 1.918168, 29.694332, 29.441092]","[9.613775, 8.777888, 45.202114, 44.523636]","[0.18816342489218688, 1]",5.5789947509765625e-05,"[0.35892796516418457, 1.0]",0.007360935211181641
23,IBP+backward (CROWN-IBP),0.0008,False,CGT_brightness_clamp,"[3.7057574, 3.1904068, 31.40767, 30.747269]","[5.9501863, 5.3984222, 36.503395, 35.996307]","[0.5312839813328541, 1]",5.2928924560546875e-05,"[0.7143458127975464, 1.0]",0.006505012512207031
24,IBP+backward (CROWN-IBP),0.0008,False,CGT_brightness,"[2.014842, 1.8156836, 29.421604, 29.14087]","[9.668068, 8.824883, 45.26743, 44.588634]","[0.17974092080985396, 1]",4.673004150390625e-05,"[0.35657063126564026, 1.0]",0.006232261657714844
25,IBP+backward (CROWN-IBP),0.001,False,whitenoise,"[1.0039235, 0.8907323, 28.180864, 28.087984]","[11.920963, 10.980022, 50.128696, 49.496513]","[0.09613501141867178, 1]",6.222724914550781e-05,"[0.24445205926895142, 1.0]",0.0075948238372802734
26,IBP+backward (CROWN-IBP),0.001,False,whitenoise_xLxU,"[1.0039235, 0.8907323, 28.180864, 28.087984]","[11.920963, 10.980022, 50.128696, 49.496513]","[0.09613501141867178, 1]",5.602836608886719e-05,"[0.24445205926895142, 1.0]",0.0075380802154541016
27,IBP+backward (CROWN-IBP),0.001,False,brightness,"[1.1174394, 1.0299171, 28.525005, 28.4683]","[11.852874, 10.919802, 50.050343, 49.418182]","[0.10232585771331892, 1]",4.982948303222656e-05,"[0.24645988643169403, 1.0]",0.0065610408782958984
28,IBP+backward (CROWN-IBP),0.001,False,CGT_brightness_clamp,"[3.444427, 2.9448955, 31.004467, 30.355762]","[6.440209, 5.8927593, 37.71955, 37.204514]","[0.44271651870328227, 1]",4.6253204345703125e-05,"[0.6480350494384766, 1.0]",0.006147861480712891
29,IBP+backward (CROWN-IBP),0.001,False,CGT_brightness,"[1.0039235, 0.8907323, 28.180864, 28.087984]","[11.920963, 10.980022, 50.128696, 49.496513]","[0.09613501141867178, 1]",4.696846008300781e-05,"[0.24445205926895142, 1.0]",0.006137847900390625
30,IBP+backward (CROWN-IBP),0.0012000000000000001,False,whitenoise,"[0, 0, 26.839846, 26.939556]","[14.787697, 13.369926, 55.89119, 54.84499]","[0.04437105091092871, 1]",7.987022399902344e-05,"[0.15785101056098938, 1.0]",0.007721900939941406
31,IBP+backward (CROWN-IBP),0.0012000000000000001,False,whitenoise_xLxU,"[0, 0, 26.839846, 26.939556]","[14.787697, 13.369926, 55.89119, 54.84499]","[0.04437105091092871, 1]",7.009506225585938e-05,"[0.15785101056098938, 1.0]",0.007422924041748047
32,IBP+backward (CROWN-IBP),0.0012000000000000001,False,brightness,"[0.0032706708, 0.06487891, 27.253963, 27.397207]","[14.703319, 13.29728, 55.799942, 54.755867]","[0.048368938169284996, 1]",5.4836273193359375e-05,"[0.15948733687400818, 1.0]",0.007021903991699219
33,IBP+backward (CROWN-IBP),0.0012000000000000001,False,CGT_brightness_clamp,"[3.1352322, 2.6377854, 30.540642, 29.902225]","[7.155274, 6.494423, 39.306656, 38.655624]","[0.3555893878453382, 1]",6.198883056640625e-05,"[0.5688303112983704, 1.0]",0.006133079528808594
34,IBP+backward (CROWN-IBP),0.0012000000000000001,False,CGT_brightness,"[0, 0, 26.839846, 26.939556]","[14.787697, 13.369926, 55.89119, 54.84499]","[0.04437105091092871, 1]",5.7697296142578125e-05,"[0.15785101056098938, 1.0]",0.006456136703491211
35,IBP+backward (CROWN-IBP),0.0014,False,whitenoise,"[0, 0, 25.422756, 25.604576]","[17.819006, 15.785286, 61.754086, 60.063282]","[0.01689795282543222, 1]",7.796287536621094e-05,"[0.0952339693903923, 1.0]",0.007730960845947266
36,IBP+backward (CROWN-IBP),0.0014,False,whitenoise_xLxU,"[0, 0, 25.422756, 25.604576]","[17.819006, 15.785286, 61.754086, 60.063282]","[0.01689795282543222, 1]",7.009506225585938e-05,"[0.0952339693903923, 1.0]",0.0074310302734375
37,IBP+backward (CROWN-IBP),0.0014,False,brightness,"[0, 0, 25.90729, 26.142979]","[17.7167, 15.691081, 61.646137, 59.952816]","[0.01948163239395403, 1]",7.081031799316406e-05,"[0.10054059326648712, 1.0]",0.007244110107421875
38,IBP+backward (CROWN-IBP),0.0014,False,CGT_brightness_clamp,"[2.8047001, 2.381113, 30.162674, 29.626236]","[7.934819, 7.159281, 41.057587, 40.3191]","[0.2876939735422778, 1]",4.673004150390625e-05,"[0.49427101016044617, 1.0]",0.006079196929931641
39,IBP+backward (CROWN-IBP),0.0014,False,CGT_brightness,"[0, 0, 25.422756, 25.604576]","[17.819006, 15.785286, 61.754086, 60.063282]","[0.01689795282543222, 1]",5.91278076171875e-05,"[0.0952339693903923, 1.0]",0.006356000900268555
40,IBP+backward (CROWN-IBP),0.0016,False,whitenoise,"[0, 0, 24.279234, 24.528223]","[21.298664, 18.497246, 68.38958, 65.96065]","[0.0034064040209934574, 1]",7.796287536621094e-05,"[0.022928250953555107, 1.0]",0.0075762271881103516
41,IBP+backward (CROWN-IBP),0.0016,False,whitenoise_xLxU,"[0, 0, 24.279234, 24.528223]","[21.298664, 18.497246, 68.38958, 65.96065]","[0.0034064040209934574, 1]",6.985664367675781e-05,"[0.022928250953555107, 1.0]",0.007339000701904297
42,IBP+backward (CROWN-IBP),0.0016,False,brightness,"[0, 0, 24.833412, 25.145075]","[21.179874, 18.396843, 68.27259, 65.84771]","[0.004691761691658935, 1]",6.413459777832031e-05,"[0.031447604298591614, 1.0]",0.00646662712097168
43,IBP+backward (CROWN-IBP),0.0016,False,CGT_brightness_clamp,"[2.2931223, 2.0269308, 29.523928, 29.157652]","[8.784395, 7.941108, 42.94181, 42.193184]","[0.22260569043484105, 1]",4.6253204345703125e-05,"[0.42483359575271606, 1.0]",0.0060198307037353516
44,IBP+backward (CROWN-IBP),0.0016,False,CGT_brightness,"[0, 0, 24.279234, 24.528223]","[21.298664, 18.497246, 68.38958, 65.96065]","[0.0034064040209934574, 1]",5.91278076171875e-05,"[0.022928250953555107, 1.0]",0.006330728530883789
45,IBP+backward (CROWN-IBP),0.0018000000000000002,True,whitenoise,"[0, 0, 22.809517, 23.250784]","[25.329832, 22.12038, 75.849014, 73.12504]","[0, 1]",0.0,"[0, 1]",0.0
46,IBP+backward (CROWN-IBP),0.0018000000000000002,True,whitenoise_xLxU,"[0, 0, 22.809517, 23.250784]","[25.329832, 22.12038, 75.849014, 73.12504]","[0, 1]",0.0,"[0, 1]",0.0
47,IBP+backward (CROWN-IBP),0.0018000000000000002,True,brightness,"[0, 0, 23.426815, 23.933844]","[25.191914, 22.00366, 75.71846, 73.00359]","[0, 1]",0.0,"[0, 1]",0.0
48,IBP+backward (CROWN-IBP),0.0018000000000000002,False,CGT_brightness_clamp,"[1.8611943, 1.6751996, 28.976995, 28.724598]","[9.679027, 8.74939, 44.893654, 44.13211]","[0.17320748631775712, 1]",6.389617919921875e-05,"[0.36445796489715576, 1.0]",0.007985830307006836
49,IBP+backward (CROWN-IBP),0.0018000000000000002,True,CGT_brightness,"[0, 0, 22.809517, 23.250784]","[25.329832, 22.12038, 75.849014, 73.12504]","[0, 1]",0.0,"[0, 1]",0.0
