,method,eps,fake_iou,perturbation,lb_box,ub_box,IoU_vanilla,tmps_vanilla,IoU_extension,tmps_extension
0,IBP+backward (CROWN-IBP),0.0,False,whitenoise,"[155.17888, 102.811485, 180.28995, 121.74541]","[155.17888, 102.811485, 180.28995, 121.74541]","[0.9046069211142195, 0.9046069211142195]",7.200241088867188e-05,"[0.9046069383621216, 0.90460694]",0.00824284553527832
1,IBP+backward (CROWN-IBP),0.0,False,brightness,"[155.17888, 102.811485, 180.28995, 121.74541]","[155.17888, 102.811485, 180.28995, 121.74541]","[0.9046069211142195, 0.9046069211142195]",5.602836608886719e-05,"[0.9046069383621216, 0.90460694]",0.007467031478881836
2,IBP+backward (CROWN-IBP),0.0,False,CGT_brightness,"[155.17888, 102.811485, 180.28995, 121.74541]","[155.17888, 102.811485, 180.28995, 121.74541]","[0.9046069211142195, 0.9046069211142195]",5.3882598876953125e-05,"[0.9046069383621216, 0.90460694]",0.007673025131225586
3,IBP+backward (CROWN-IBP),0.0,False,CGT_brightness_clamp,"[155.17888, 102.811485, 180.28995, 121.74541]","[155.17888, 102.811485, 180.28995, 121.74541]","[0.9046069211142195, 0.9046069211142195]",5.698204040527344e-05,"[0.9046069383621216, 0.90460694]",0.0075037479400634766
4,IBP+backward (CROWN-IBP),5.9999999999999995e-05,False,whitenoise,"[154.8335, 102.47915, 179.71597, 121.54121]","[155.64423, 103.11751, 181.00244, 121.99825]","[0.7651571583778292, 1]",6.413459777832031e-05,"[0.8404582142829895, 0.9469957]",0.007915019989013672
5,IBP+backward (CROWN-IBP),5.9999999999999995e-05,False,brightness,"[155.13206, 102.58847, 180.01852, 121.66537]","[155.34357, 103.009926, 180.68791, 121.875786]","[0.8357066199728875, 0.9586998477288824]",5.698204040527344e-05,"[0.8703914880752563, 0.92481506]",0.008023738861083984
6,IBP+backward (CROWN-IBP),5.9999999999999995e-05,False,CGT_brightness,"[154.8335, 102.47915, 179.71597, 121.54121]","[155.64423, 103.11751, 181.00244, 121.99825]","[0.7651571583778292, 1]",6.008148193359375e-05,"[0.8404582142829895, 0.9469957]",0.007647037506103516
7,IBP+backward (CROWN-IBP),5.9999999999999995e-05,False,CGT_brightness_clamp,"[154.8335, 102.47915, 179.71597, 121.54121]","[155.64423, 103.11751, 181.00244, 121.99825]","[0.7651571583778292, 1]",5.3882598876953125e-05,"[0.8404582142829895, 0.9469957]",0.007988929748535156
8,IBP+backward (CROWN-IBP),0.00011999999999999999,False,whitenoise,"[154.46558, 101.95961, 179.11719, 121.27534]","[156.18321, 103.448074, 182.06136, 122.26895]","[0.6285792941800602, 1]",6.198883056640625e-05,"[0.7686372399330139, 0.9826559]",0.007984161376953125
9,IBP+backward (CROWN-IBP),0.00011999999999999999,False,brightness,"[155.062, 102.18161, 179.7215, 121.52449]","[155.5811, 103.23234, 181.42374, 122.02404]","[0.7440396430536121, 1]",5.6743621826171875e-05,"[0.823668360710144, 0.95465803]",0.007674217224121094
