,method,image_id,gt_logit,eps,eps_contrast,fake_iou,perturbation,bounds_clip,elapsed_time_perturbation,elapsed_time_eps_computed_ious,IoU_vanilla,tmps_vanilla,IoU_extension,tmps_extension
0,IBP,20,0,0.0,0.0,False,whitenoise,"[[16.900406, 60.642536, 44.917713, 88.86945], [16.900406, 60.642536, 44.917713, 88.86945]]",0.26534271240234375,0.01316976547241211,"[0.9096859761524391, 0.9096859761524391]",7.319450378417969e-05,"[0.9096859693527222, 0.90968597]",0.010749101638793945
1,IBP,20,0,0.0,0.0,False,brightness,"[[16.900406, 60.642536, 44.917713, 88.86945], [16.900406, 60.642536, 44.917713, 88.86945]]",0.26534271240234375,0.024863481521606445,"[0.9096859761524391, 0.9096859761524391]",6.079673767089844e-05,"[0.9096859693527222, 0.90968597]",0.009911537170410156
2,IBP,20,0,0.0,0.0,False,contrast,"[[16.900406, 60.642536, 44.917713, 88.86945], [16.900406, 60.642536, 44.917713, 88.86945]]",0.26534271240234375,0.03657698631286621,"[0.9096859761524391, 0.9096859761524391]",6.103515625e-05,"[0.9096859693527222, 0.90968597]",0.009916305541992188
3,IBP,20,0,0.0002,0.001,False,whitenoise,"[[10.672398, 54.021667, 36.132, 78.9182], [23.318577, 67.45025, 54.10899, 90]]",0.26703953742980957,0.018611669540405273,"[0.06679766824188338, 1]",0.00013899803161621094,"[0.18742816150188446, 1.0]",0.014089584350585938
4,IBP,20,0,0.0002,0.001,False,brightness,"[[10.672398, 54.021667, 36.132, 78.9182], [23.318577, 67.45025, 54.10899, 90]]",0.26703953742980957,0.0308988094329834,"[0.06679766824188338, 1]",7.295608520507812e-05,"[0.18742816150188446, 1.0]",0.0104217529296875
5,IBP,20,0,0.0002,0.001,False,contrast,"[[15.953106, 59.713238, 43.61085, 87.45273], [17.847935, 61.574528, 46.22752, 90]]",0.26703953742980957,0.0431666374206543,"[0.6384067570021364, 1]",7.295608520507812e-05,"[0.7753803133964539, 0.99459845]",0.010403871536254883
6,IBP,20,0,0.0004,0.002,True,whitenoise,"[[4.171352, 46.873184, 26.970665, 68.36797], [30.625576, 75.07096, 64.72613, 90]]",0.2356405258178711,0.002446413040161133,"[0, 1]",0.0,"[0, 1]",0.0
7,IBP,20,0,0.0004,0.002,True,brightness,"[[4.171352, 46.873184, 26.970665, 68.36797], [30.625576, 75.07096, 64.72613, 90]]",0.2356405258178711,0.003854036331176758,"[0, 1]",0.0,"[0, 1]",0.0
8,IBP,20,0,0.0004,0.002,False,contrast,"[[15.00991, 58.788036, 42.31136, 86.04252], [18.792255, 62.504253, 47.533512, 90]]",0.2356405258178711,0.016115903854370117,"[0.44446980794811636, 1]",8.130073547363281e-05,"[0.6622844338417053, 1.0]",0.010447978973388672
9,IBP,20,0,0.0006000000000000001,0.003,True,whitenoise,"[[0, 39.331688, 17.774296, 57.521564], [39.20007, 83.53593, 77.11312, 90]]",0.2674071788787842,0.001947164535522461,"[0, 1]",0.0,"[0, 1]",0.0
10,IBP,20,0,0.0006000000000000001,0.003,True,brightness,"[[0, 39.331688, 17.774296, 57.521564], [39.20007, 83.53593, 77.11312, 90]]",0.2674071788787842,0.0033981800079345703,"[0, 1]",0.0,"[0, 1]",0.0
11,IBP,20,0,0.0006000000000000001,0.003,False,contrast,"[[14.074194, 57.871677, 41.03067, 84.650604], [19.732931, 63.434055, 48.83564, 90]]",0.2674071788787842,0.015895843505859375,"[0.3118538795459617, 1]",8.249282836914062e-05,"[0.5633988976478577, 1.0]",0.010657548904418945
12,IBP,20,0,0.0008,0.004,True,whitenoise,"[[0, 32.135685, 9.830044, 47.50382], [48.011036, 90, 89.95043, 90]]",0.2713663578033447,0.0019571781158447266,"[0, 1]",0.0,"[0, 1]",0.0
13,IBP,20,0,0.0008,0.004,True,brightness,"[[0, 32.135685, 9.830044, 47.50382], [48.011036, 90, 89.95043, 90]]",0.2713663578033447,0.0033354759216308594,"[0, 1]",0.0,"[0, 1]",0.0
14,IBP,20,0,0.0008,0.004,False,contrast,"[[13.153664, 56.97284, 39.78072, 83.29047], [20.703094, 64.38431, 50.16196, 90]]",0.2713663578033447,0.015756845474243164,"[0.21918196111135674, 1]",8.320808410644531e-05,"[0.4600569009780884, 1.0]",0.010527849197387695
15,IBP,20,0,0.001,0.005,True,whitenoise,"[[0, 25.067814, 2.8765028, 38.06117], [56.813698, 90, 90, 90]]",0.25751495361328125,0.0019431114196777344,"[0, 1]",0.0,"[0, 1]",0.0
16,IBP,20,0,0.001,0.005,True,brightness,"[[0, 25.067814, 2.8765028, 38.06117], [56.813698, 90, 90, 90]]",0.25751495361328125,0.003371000289916992,"[0, 1]",0.0,"[0, 1]",0.0
17,IBP,20,0,0.001,0.005,False,contrast,"[[12.246262, 56.081306, 38.548042, 81.94051], [21.668537, 65.3383, 51.482506, 90]]",0.25751495361328125,0.015955209732055664,"[0.15275063741601935, 1]",8.273124694824219e-05,"[0.35744526982307434, 1.0]",0.010728597640991211
18,IBP,20,0,0.0012000000000000001,0.006,True,whitenoise,"[[0, 18.568562, 0, 29.68095], [65.85889, 90, 90, 90]]",0.26320314407348633,0.0018494129180908203,"[0, 1]",0.0,"[0, 1]",0.0
19,IBP,20,0,0.0012000000000000001,0.006,True,brightness,"[[0, 18.568562, 0, 29.68095], [65.85889, 90, 90, 90]]",0.26320314407348633,0.0031948089599609375,"[0, 1]",0.0,"[0, 1]",0.0
20,IBP,20,0,0.0012000000000000001,0.006,False,contrast,"[[11.360871, 55.210075, 37.345753, 80.62605], [22.624847, 66.28193, 52.79468, 90]]",0.26320314407348633,0.015651464462280273,"[0.10482863809443588, 1]",8.249282836914062e-05,"[0.2693348228931427, 1.0]",0.010589122772216797
21,IBP,20,0,0.0014,0.007,True,whitenoise,"[[0, 13.116978, 0, 22.994373], [73.994225, 90, 90, 90]]",0.25713491439819336,0.0020422935485839844,"[0, 1]",0.0,"[0, 1]",0.0
22,IBP,20,0,0.0014,0.007,True,brightness,"[[0, 13.116978, 0, 22.994373], [73.994225, 90, 90, 90]]",0.25713491439819336,0.003462076187133789,"[0, 1]",0.0,"[0, 1]",0.0
