,method,image_id,eps,eps_contrast,fake_iou,perturbation,bounds_clip,elapsed_time_perturbation,elapsed_time_eps_computed_ious,IoU_vanilla,tmps_vanilla,IoU_extension,tmps_extension
0,IBP,12,0.0,0.0,False,whitenoise,"[[102.235146, 112.379616, 122.281425, 131.31546], [102.235146, 112.379616, 122.281425, 131.31546]]",0.22420787811279297,0.010246992111206055,"[0.8783447075287293, 0.8783447075287293]",7.200241088867188e-05,"[0.878344714641571, 0.8783447]",0.008127212524414062
1,IBP,12,2.2222222222222223e-05,0.0001,False,whitenoise,"[[99.13704, 109.981735, 119.10471, 128.7377], [105.33267, 114.77908, 125.458046, 133.89499]]",0.24313592910766602,0.011507987976074219,"[0.23400261682120788, 1]",7.605552673339844e-05,"[0.5001769661903381, 1.0]",0.009280920028686523
2,IBP,12,4.4444444444444447e-05,0.0002,False,whitenoise,"[[96.067184, 107.62662, 115.93194, 126.195755], [108.42752, 117.17763, 128.56871, 136.4734]]",0.2442331314086914,0.009734869003295898,"[0.05395803269463212, 1]",6.389617919921875e-05,"[0.1760825365781784, 1.0]",0.007848024368286133
3,IBP,12,6.666666666666667e-05,0.00030000000000000003,False,whitenoise,"[[93.03374, 105.33315, 112.754524, 123.70316], [111.52756, 119.58131, 131.5794, 139.05704]]",0.20400214195251465,0.011813879013061523,"[0.003011791862091135, 1]",7.82012939453125e-05,"[0.013158570043742657, 1.0]",0.00950765609741211
4,IBP,12,8.888888888888889e-05,0.0004,True,whitenoise,"[[89.99263, 103.03471, 109.56862, 121.20495], [114.6369, 121.99339, 134.59897, 141.64949]]",0.26239800453186035,0.001772165298461914,"[0, 1]",0.0,"[0, 1]",0.0
5,IBP,12,0.00011111111111111112,0.0005,True,whitenoise,"[[86.94831, 100.73644, 106.37913, 118.706726], [117.7463, 124.40833, 137.6184, 144.24487]]",0.23105287551879883,0.0018219947814941406,"[0, 1]",0.0,"[0, 1]",0.0
6,IBP,12,0.00013333333333333334,0.0006000000000000001,True,whitenoise,"[[83.90146, 98.43941, 103.18557, 116.206635], [120.85892, 126.82759, 140.64034, 146.84006]]",0.2505671977996826,0.0019931793212890625,"[0, 1]",0.0,"[0, 1]",0.0
7,IBP,12,0.00015555555555555556,0.0007,True,whitenoise,"[[80.87756, 96.17438, 100.00712, 113.69959], [123.98453, 129.24873, 143.67188, 149.37383]]",0.2409658432006836,0.001786947250366211,"[0, 1]",0.0,"[0, 1]",0.0
8,IBP,12,0.00017777777777777779,0.0008,True,whitenoise,"[[77.87656, 93.83124, 96.857704, 111.07942], [127.2834, 131.6539, 146.8269, 151.86726]]",0.24855589866638184,0.001768350601196289,"[0, 1]",0.0,"[0, 1]",0.0
9,IBP,12,0.0002,0.0009000000000000001,True,whitenoise,"[[74.87361, 91.48683, 93.70608, 108.45781], [130.58846, 134.06375, 149.98787, 154.36568]]",0.29859471321105957,0.0016591548919677734,"[0, 1]",0.0,"[0, 1]",0.0
