,method,image_id,eps,fake_iou,perturbation,bounds_clip,elapsed_time_perturbation,elapsed_time_eps_computed_ious,IoU_vanilla,tmps_vanilla,IoU_extension,tmps_extension
0,IBP,1,0.0,False,whitenoise,"[[155.17883, 102.81147, 180.29, 121.74534], [155.17883, 102.81147, 180.29, 121.74534]]",0.8082671165466309,0.014421939849853516,"[0.904610789086799, 0.904610789086799]",9.775161743164062e-05,"[0.904610812664032, 0.9046108]",0.011546134948730469
1,IBP,1,0.0,False,brightness,"[[155.17883, 102.81147, 180.29, 121.74534], [155.17883, 102.81147, 180.29, 121.74534]]",0.8082671165466309,0.027280092239379883,"[0.904610789086799, 0.904610789086799]",7.915496826171875e-05,"[0.904610812664032, 0.9046108]",0.010752677917480469
2,IBP,1,0.0,False,contrast,"[[155.17883, 102.81147, 180.29, 121.74534], [155.17883, 102.81147, 180.29, 121.74534]]",0.8082671165466309,0.04009604454040527,"[0.904610789086799, 0.904610789086799]",7.796287536621094e-05,"[0.904610812664032, 0.9046108]",0.010716915130615234
3,IBP,1,0.00022222222222222223,True,whitenoise,"[[120.77923, 76.85971, 144.89354, 94.18375], [190.07043, 128.44595, 217.40846, 150.05585]]",0.7047669887542725,0.0018339157104492188,"[0, 1]",0.0,"[0, 1]",0.0
4,IBP,1,0.00022222222222222223,True,brightness,"[[120.77923, 76.85971, 144.89354, 94.18375], [190.07043, 128.44595, 217.40846, 150.05585]]",0.7047669887542725,0.003340005874633789,"[0, 1]",0.0,"[0, 1]",0.0
5,IBP,1,0.0011111111111111111,True,contrast,"[[107.2228, 66.43125, 130.48987, 83.46857], [203.36823, 139.12639, 232.15533, 161.59021]]",0.7047669887542725,0.004839897155761719,"[0, 1]",0.0,"[0, 1]",0.0
6,IBP,1,0.00044444444444444447,True,whitenoise,"[[87.01275, 51.782852, 109.231384, 68.27213], [222.94006, 154.33931, 254.1159, 178.06923]]",0.7163360118865967,0.0018079280853271484,"[0, 1]",0.0,"[0, 1]",0.0
7,IBP,1,0.00044444444444444447,True,brightness,"[[87.01275, 51.782852, 109.231384, 68.27213], [222.94006, 154.33931, 254.1159, 178.06923]]",0.7163360118865967,0.0033102035522460938,"[0, 1]",0.0,"[0, 1]",0.0
8,IBP,1,0.0022222222222222222,True,contrast,"[[61.653828, 32.017635, 80.904655, 47.778545], [249.14162, 175.3264, 256, 200.9019]]",0.7163360118865967,0.0048542022705078125,"[0, 1]",0.0,"[0, 1]",0.0
9,IBP,1,0.0006666666666666668,True,whitenoise,"[[51.250828, 26.051716, 70.19207, 41.761433], [256, 182.89723, 256, 209.70155]]",0.71555495262146,0.001867055892944336,"[0, 1]",0.0,"[0, 1]",0.0
10,IBP,1,0.0006666666666666668,True,brightness,"[[51.250828, 26.051716, 70.19207, 41.761433], [256, 182.89723, 256, 209.70155]]",0.71555495262146,0.003414154052734375,"[0, 1]",0.0,"[0, 1]",0.0
11,IBP,1,0.003333333333333333,True,contrast,"[[19.769594, 0, 35.427677, 12.591723], [256, 214.72044, 256, 243.30608]]",0.71555495262146,0.004969120025634766,"[0, 1]",0.0,"[0, 1]",0.0
12,IBP,1,0.0008888888888888889,True,whitenoise,"[[17.290941, 0, 33.5425, 13.156268], [256, 217.63924, 256, 246.54414]]",0.6996090412139893,0.0019059181213378906,"[0, 1]",0.0,"[0, 1]",0.0
13,IBP,1,0.0008888888888888889,True,brightness,"[[17.290941, 0, 33.5425, 13.156268], [256, 217.63924, 256, 246.54414]]",0.6996090412139893,0.0034759044647216797,"[0, 1]",0.0,"[0, 1]",0.0
14,IBP,1,0.0044444444444444444,True,contrast,"[[0, 0, 0, 0], [256, 256, 256, 256]]",0.6996090412139893,0.0050008296966552734,"[0, 1]",0.0,"[0, 1]",0.0
15,IBP,1,0.0011111111111111111,True,whitenoise,"[[0, 0, 0, 0], [256, 256, 256, 256]]",0.7022619247436523,0.001882791519165039,"[0, 1]",0.0,"[0, 1]",0.0
16,IBP,1,0.0011111111111111111,True,brightness,"[[0, 0, 0, 0], [256, 256, 256, 256]]",0.7022619247436523,0.0034258365631103516,"[0, 1]",0.0,"[0, 1]",0.0
