,method,image_id,eps_contrast,eps_contrast_CROWN,fake_iou,perturbation,bounds_clip,elapsed_time_perturbation,elapsed_time_eps_computed_ious,IoU_vanilla,tmps_vanilla,IoU_extension,tmps_extension
0,IBP,1,0.0,0.0,False,contrast,"[[155.17883, 102.81147, 180.29, 121.74534], [155.17883, 102.81147, 180.29, 121.74534]]",0.2683839797973633,0.012744903564453125,"[0.904610789086799, 0.904610789086799]",8.511543273925781e-05,"[0.904610812664032, 0.9046108]",0.01010274887084961
1,IBP,1,0.0001,0.0001,False,contrast,"[[150.74031, 99.67538, 175.7674, 118.180275], [159.68333, 106.106575, 184.6088, 125.41561]]",0.2100963592529297,0.011636972427368164,"[0.1678935345446256, 1]",7.200241088867188e-05,"[0.4053634703159332, 1.0]",0.009510993957519531
2,IBP,1,0.0002,0.0002,False,contrast,"[[146.28387, 96.181625, 171.22568, 114.49235], [164.29462, 109.43242, 189.5535, 129.11096]]",0.2547638416290283,0.01166677474975586,"[0.01876610360206625, 1]",7.200241088867188e-05,"[0.07320700585842133, 1.0]",0.009530067443847656
3,IBP,1,0.00030000000000000003,0.00030000000000000003,True,contrast,"[[141.82051, 92.68859, 166.67793, 110.80527], [168.90923, 112.76655, 194.50175, 132.81549]]",0.18919014930725098,0.0016219615936279297,"[0, 1]",0.0,"[0, 1]",0.0
4,IBP,1,0.0004,0.0004,True,contrast,"[[137.35876, 89.19977, 162.13188, 107.122345], [173.52057, 116.1012, 199.44615, 136.52042]]",0.20171213150024414,0.0014009475708007812,"[0, 1]",0.0,"[0, 1]",0.0
5,IBP,1,0.0005,0.0005,True,contrast,"[[132.8993, 85.71274, 157.58049, 103.44105], [178.13847, 119.44205, 204.39082, 140.2268]]",0.19286894798278809,0.0016429424285888672,"[0, 1]",0.0,"[0, 1]",0.0
6,IBP,1,0.0006000000000000001,0.0006000000000000001,True,contrast,"[[128.44771, 82.28969, 152.95255, 99.84641], [182.6894, 122.833084, 209.19345, 143.91664]]",0.21149206161499023,0.0016407966613769531,"[0, 1]",0.0,"[0, 1]",0.0
7,IBP,1,0.0007,0.0007,True,contrast,"[[124.273544, 79.20213, 148.54526, 96.633644], [186.74648, 126.025894, 213.67899, 147.38098]]",0.1908721923828125,0.0016160011291503906,"[0, 1]",0.0,"[0, 1]",0.0
8,IBP,1,0.0008,0.0008,True,contrast,"[[120.134186, 76.148834, 144.16205, 93.44743], [190.77652, 129.20026, 218.15674, 150.82352]]",0.1962430477142334,0.0016169548034667969,"[0, 1]",0.0,"[0, 1]",0.0
9,IBP,1,0.0009000000000000001,0.0009000000000000001,True,contrast,"[[115.99663, 73.09993, 139.78058, 90.265625], [194.8044, 132.3752, 222.63074, 154.26694]]",0.18343615531921387,0.0015888214111328125,"[0, 1]",0.0,"[0, 1]",0.0
