,method,image_id,eps,eps_contrast,fake_iou,perturbation,bounds_clip,elapsed_time_perturbation,elapsed_time_eps_computed_ious,IoU_vanilla,tmps_vanilla,IoU_extension,tmps_extension
0,IBP,0,0.0,0.0,False,whitenoise,"[[136.46393, 124.49625, 141.60565, 127.41347], [136.46393, 124.49625, 141.60565, 127.41347]]",0.623499870300293,0.012486934661865234,"[0.14678723069690006, 0.14678723069690006]",9.298324584960938e-05,"[0.14678722620010376, 0.14678723]",0.009986162185668945
1,IBP,0,0.0,0.0,False,brightness,"[[136.46393, 124.49625, 141.60565, 127.41347], [136.46393, 124.49625, 141.60565, 127.41347]]",0.623499870300293,0.021870851516723633,"[0.14678723069690006, 0.14678723069690006]",5.602836608886719e-05,"[0.14678722620010376, 0.14678723]",0.007829904556274414
2,IBP,0,0.0,0.0,False,contrast,"[[136.46393, 124.49625, 141.60565, 127.41347], [136.46393, 124.49625, 141.60565, 127.41347]]",0.623499870300293,0.03124094009399414,"[0.14678723069690006, 0.14678723069690006]",5.602836608886719e-05,"[0.14678722620010376, 0.14678723]",0.007817983627319336
3,IBP,0,2e-05,0.01,True,whitenoise,"[[134.46513, 122.867905, 139.56172, 125.69496], [138.46315, 126.12511, 143.64995, 129.13252]]",0.5879199504852295,0.0015799999237060547,"[0, 1]",0.0,"[0, 1]",0.0
4,IBP,0,2e-05,0.01,True,brightness,"[[134.46513, 122.867905, 139.56172, 125.69496], [138.46315, 126.12511, 143.64995, 129.13252]]",0.5879199504852295,0.0028591156005859375,"[0, 1]",0.0,"[0, 1]",0.0
5,IBP,0,2e-05,0.01,True,contrast,"[[0, 0, 0, 0], [256, 256, 256, 256]]",0.5879199504852295,0.0041348934173583984,"[0, 1]",0.0,"[0, 1]",0.0
6,IBP,0,4e-05,0.02,True,whitenoise,"[[132.45468, 121.231926, 137.51659, 123.97437], [140.46579, 127.75846, 145.70656, 130.86005]]",0.5356957912445068,0.0015621185302734375,"[0, 1]",0.0,"[0, 1]",0.0
7,IBP,0,4e-05,0.02,True,brightness,"[[132.45468, 121.231926, 137.51659, 123.97437], [140.46579, 127.75846, 145.70656, 130.86005]]",0.5356957912445068,0.002807140350341797,"[0, 1]",0.0,"[0, 1]",0.0
8,IBP,0,4e-05,0.02,True,contrast,"[[0, 0, 0, 0], [256, 256, 256, 256]]",0.5356957912445068,0.00411224365234375,"[0, 1]",0.0,"[0, 1]",0.0
9,IBP,0,6.000000000000001e-05,0.03,True,whitenoise,"[[130.35298, 119.52983, 135.4332, 122.214714], [142.5146, 129.43681, 147.8558, 132.65427]]",0.5229640007019043,0.001554250717163086,"[0, 1]",0.0,"[0, 1]",0.0
10,IBP,0,6.000000000000001e-05,0.03,True,brightness,"[[130.35298, 119.52983, 135.4332, 122.214714], [142.5146, 129.43681, 147.8558, 132.65427]]",0.5229640007019043,0.002810239791870117,"[0, 1]",0.0,"[0, 1]",0.0
11,IBP,0,6.000000000000001e-05,0.03,True,contrast,"[[0, 0, 0, 0], [256, 256, 256, 256]]",0.5229640007019043,0.004044055938720703,"[0, 1]",0.0,"[0, 1]",0.0
12,IBP,0,8e-05,0.04,True,whitenoise,"[[128.21834, 117.82398, 133.31569, 120.449265], [144.56847, 131.13303, 150.00914, 134.46602]]",0.520740270614624,0.0014679431915283203,"[0, 1]",0.0,"[0, 1]",0.0
13,IBP,0,8e-05,0.04,True,brightness,"[[128.21834, 117.82398, 133.31569, 120.449265], [144.56847, 131.13303, 150.00914, 134.46602]]",0.520740270614624,0.004789829254150391,"[0, 1]",0.0,"[0, 1]",0.0
14,IBP,0,8e-05,0.04,True,contrast,"[[0, 0, 0, 0], [256, 256, 256, 256]]",0.520740270614624,0.0059947967529296875,"[0, 1]",0.0,"[0, 1]",0.0
15,IBP,0,0.0001,0.05,True,whitenoise,"[[125.94527, 116.08832, 131.05646, 118.64598], [146.65709, 132.90681, 152.19528, 136.35509]]",0.5263199806213379,0.0016279220581054688,"[0, 1]",0.0,"[0, 1]",0.0
16,IBP,0,0.0001,0.05,True,brightness,"[[125.94527, 116.08832, 131.05646, 118.64598], [146.65709, 132.90681, 152.19528, 136.35509]]",0.5263199806213379,0.002872943878173828,"[0, 1]",0.0,"[0, 1]",0.0
17,IBP,0,0.0001,0.05,True,contrast,"[[0, 0, 0, 0], [256, 256, 256, 256]]",0.5263199806213379,0.004151105880737305,"[0, 1]",0.0,"[0, 1]",0.0
