,method,image_id,eps,eps_contrast,fake_iou,perturbation,bounds_clip,elapsed_time_perturbation,elapsed_time_eps_computed_ious,IoU_vanilla,tmps_vanilla,IoU_extension,tmps_extension
0,IBP,67,0.0,0.0,False,whitenoise,"[[143.83246, 134.23648, 154.42941, 146.1973], [143.83246, 134.23648, 154.42941, 146.1973]]",0.5367131233215332,0.020548343658447266,"[0.6011610887155779, 0.6011610887155779]",0.0001227855682373047,"[0.6011610627174377, 0.60116106]",0.016817808151245117
1,IBP,67,0.0,0.0,False,brightness,"[[143.83246, 134.23648, 154.42941, 146.1973], [143.83246, 134.23648, 154.42941, 146.1973]]",0.5367131233215332,0.03992414474487305,"[0.6011610887155779, 0.6011610887155779]",0.00011134147644042969,"[0.6011610627174377, 0.60116106]",0.01635003089904785
2,IBP,67,0.0,0.0,False,contrast,"[[143.83246, 134.23648, 154.42941, 146.1973], [143.83246, 134.23648, 154.42941, 146.1973]]",0.5367131233215332,0.05930376052856445,"[0.6011610887155779, 0.6011610887155779]",0.00011205673217773438,"[0.6011610627174377, 0.60116106]",0.01635122299194336
3,IBP,67,2e-05,0.01,False,whitenoise,"[[141.24591, 132.26329, 151.78484, 144.08322], [146.41748, 136.21034, 157.07265, 148.31195]]",0.5087690353393555,0.020473480224609375,"[0.12535118208291962, 1]",0.0001239776611328125,"[0.2769136428833008, 1.0]",0.01681828498840332
4,IBP,67,2e-05,0.01,False,brightness,"[[141.24591, 132.26329, 151.78484, 144.08322], [146.41748, 136.21034, 157.07265, 148.31195]]",0.5087690353393555,0.03980112075805664,"[0.12535118208291962, 1]",0.00011324882507324219,"[0.2769136428833008, 1.0]",0.016346454620361328
5,IBP,67,2e-05,0.01,True,contrast,"[[0, 0, 0, 0], [256, 256, 256, 256]]",0.5087690353393555,0.04203534126281738,"[0, 1]",0.0,"[0, 1]",0.0
6,IBP,67,4e-05,0.02,False,whitenoise,"[[138.659, 130.28477, 149.1406, 141.96329], [149.00781, 138.187, 159.72183, 150.42838]]",0.5076866149902344,0.020461559295654297,"[0.0009131003929970995, 1]",0.00012636184692382812,"[0.003999745007604361, 1.0]",0.01678180694580078
7,IBP,67,4e-05,0.02,False,brightness,"[[138.659, 130.28477, 149.1406, 141.96329], [149.00781, 138.187, 159.72183, 150.42838]]",0.5076866149902344,0.03985261917114258,"[0.0009131003929970995, 1]",0.00011277198791503906,"[0.003999745007604361, 1.0]",0.016373634338378906
8,IBP,67,4e-05,0.02,True,contrast,"[[0, 0, 0, 0], [256, 256, 256, 256]]",0.5076866149902344,0.04212307929992676,"[0, 1]",0.0,"[0, 1]",0.0
9,IBP,67,6.000000000000001e-05,0.03,True,whitenoise,"[[136.05106, 128.26128, 146.4786, 139.79483], [151.64508, 140.18974, 162.42215, 152.56708]]",0.505903959274292,0.0028116703033447266,"[0, 1]",0.0,"[0, 1]",0.0
10,IBP,67,6.000000000000001e-05,0.03,True,brightness,"[[136.05106, 128.26128, 146.4786, 139.79483], [151.64508, 140.18974, 162.42215, 152.56708]]",0.505903959274292,0.00494384765625,"[0, 1]",0.0,"[0, 1]",0.0
11,IBP,67,6.000000000000001e-05,0.03,True,contrast,"[[0, 0, 0, 0], [256, 256, 256, 256]]",0.505903959274292,0.007172822952270508,"[0, 1]",0.0,"[0, 1]",0.0
12,IBP,67,8e-05,0.04,True,whitenoise,"[[133.44508, 126.240456, 143.81873, 137.62921], [154.27922, 142.19115, 165.11932, 154.70432]]",0.505760908126831,0.0028297901153564453,"[0, 1]",0.0,"[0, 1]",0.0
13,IBP,67,8e-05,0.04,True,brightness,"[[133.44508, 126.240456, 143.81873, 137.62921], [154.27922, 142.19115, 165.11932, 154.70432]]",0.505760908126831,0.004960775375366211,"[0, 1]",0.0,"[0, 1]",0.0
