,method,image_id,gt_logit,eps,fake_iou,perturbation,bounds_clip,elapsed_time_perturbation,elapsed_time_eps_computed_ious,IoU_vanilla,tmps_vanilla,IoU_extension,tmps_extension
0,IBP,0,0,0.0,False,whitenoise,"[[27.478369, 22.450464, 56.277493, 51.304592], [27.478369, 22.450464, 56.277493, 51.304592]]",0.23739099502563477,0.010296106338500977,"[0.8849658889618297, 0.8849658889618297]",6.4849853515625e-05,"[0.8849658966064453, 0.8849659]",0.008254051208496094
1,IBP,0,0,0.0,False,brightness,"[[27.478369, 22.450464, 56.277493, 51.304592], [27.478369, 22.450464, 56.277493, 51.304592]]",0.23739099502563477,0.019387245178222656,"[0.8849658889618297, 0.8849658889618297]",5.412101745605469e-05,"[0.8849658966064453, 0.8849659]",0.0075910091400146484
2,IBP,0,0,0.0,False,contrast,"[[27.478369, 22.450464, 56.277493, 51.304592], [27.478369, 22.450464, 56.277493, 51.304592]]",0.23739099502563477,0.02775120735168457,"[0.8849658889618297, 0.8849658889618297]",5.316734313964844e-05,"[0.8849658966064453, 0.8849659]",0.006878852844238281
3,IBP,0,0,0.00022222222222222223,False,whitenoise,"[[21.136036, 16.928455, 46.193096, 42.130955], [34.02344, 28.35532, 66.80067, 61.071003]]",0.2090778350830078,0.009669780731201172,"[0.06369217713639293, 1]",6.222724914550781e-05,"[0.2138325423002243, 1.0]",0.0077898502349853516
4,IBP,0,0,0.00022222222222222223,False,brightness,"[[21.136036, 16.928455, 46.193096, 42.130955], [34.02344, 28.35532, 66.80067, 61.071003]]",0.2090778350830078,0.01880192756652832,"[0.06369217713639293, 1]",5.507469177246094e-05,"[0.2138325423002243, 1.0]",0.0075609683990478516
5,IBP,0,0,0.0011111111111111111,False,contrast,"[[26.486025, 21.550842, 54.73881, 49.842113], [28.474852, 23.356445, 57.82609, 52.77554]]",0.2090778350830078,0.02703571319580078,"[0.6519596749964705, 1]",5.1975250244140625e-05,"[0.7512248754501343, 1.0]",0.006783962249755859
6,IBP,0,0,0.00044444444444444447,True,whitenoise,"[[14.718852, 11.274716, 35.988087, 32.860046], [41.541386, 35.165096, 78.911224, 72.35147]]",0.20069289207458496,0.0012018680572509766,"[0, 1]",0.0,"[0, 1]",0.0
7,IBP,0,0,0.00044444444444444447,True,brightness,"[[14.718852, 11.274716, 35.988087, 32.860046], [41.541386, 35.165096, 78.911224, 72.35147]]",0.20069289207458496,0.0023059844970703125,"[0, 1]",0.0,"[0, 1]",0.0
8,IBP,0,0,0.0022222222222222222,False,contrast,"[[25.506893, 20.668056, 53.23113, 48.40949], [29.462486, 24.29905, 59.360996, 54.28052]]",0.20069289207458496,0.012216806411743164,"[0.4248607978563874, 1]",5.91278076171875e-05,"[0.6409160494804382, 1.0]",0.007929801940917969
9,IBP,0,0,0.0006666666666666668,True,whitenoise,"[[8.242153, 5.6604104, 25.940197, 23.69997], [49.9932, 42.88178, 90, 85.29789]]",0.2199409008026123,0.0014503002166748047,"[0, 1]",0.0,"[0, 1]",0.0
10,IBP,0,0,0.0006666666666666668,True,brightness,"[[8.242153, 5.6604104, 25.940197, 23.69997], [49.9932, 42.88178, 90, 85.29789]]",0.2199409008026123,0.002613067626953125,"[0, 1]",0.0,"[0, 1]",0.0
