,method,image_id,gt_logit,eps,eps_contrast,fake_iou,perturbation,bounds_clip,elapsed_time_perturbation,elapsed_time_eps_computed_ious,IoU_vanilla,tmps_vanilla,IoU_extension,tmps_extension
0,IBP,0,0,0.0,0.0,False,whitenoise,"[[12.598661, 21.215336, 40.792244, 49.761593], [12.598661, 21.215336, 40.792244, 49.761593]]",0.2948479652404785,0.014824867248535156,"[0.8802041617475888, 0.8802041617475888]",0.0001163482666015625,"[0.8802041411399841, 0.88020414]",0.011277914047241211
1,IBP,0,0,0.0,0.0,False,brightness,"[[12.598661, 21.215336, 40.792244, 49.761593], [12.598661, 21.215336, 40.792244, 49.761593]]",0.2948479652404785,0.027149677276611328,"[0.8802041617475888, 0.8802041617475888]",6.0558319091796875e-05,"[0.8802041411399841, 0.88020414]",0.010372638702392578
2,IBP,0,0,0.0,0.0,False,contrast,"[[12.598661, 21.215336, 40.792244, 49.761593], [12.598661, 21.215336, 40.792244, 49.761593]]",0.2948479652404785,0.039376020431518555,"[0.8802041617475888, 0.8802041617475888]",6.985664367675781e-05,"[0.8802041411399841, 0.88020414]",0.010280847549438477
3,IBP,0,0,0.0002,0.001,False,whitenoise,"[[8.112893, 16.578026, 33.25758, 41.89873], [17.378448, 26.047707, 48.8883, 58.043903]]",0.2287733554840088,0.013386249542236328,"[0.11322113227803875, 1]",6.937980651855469e-05,"[0.3210465908050537, 1.0]",0.010767221450805664
4,IBP,0,0,0.0002,0.001,False,brightness,"[[8.112893, 16.578026, 33.25758, 41.89873], [17.378448, 26.047707, 48.8883, 58.043903]]",0.2287733554840088,0.025704622268676758,"[0.11322113227803875, 1]",6.270408630371094e-05,"[0.3210465908050537, 1.0]",0.01043701171875
5,IBP,0,0,0.0002,0.001,False,contrast,"[[11.857259, 20.4483, 39.581573, 48.46905], [13.352944, 21.989773, 42.02169, 51.063137]]",0.2287733554840088,0.0379946231842041,"[0.6571688400835808, 1]",6.103515625e-05,"[0.7662014961242676, 0.97705585]",0.010403871536254883
6,IBP,0,0,0.0004,0.002,False,whitenoise,"[[3.6798708, 11.788044, 25.66313, 33.712337], [22.840794, 31.594494, 58.230053, 67.65791]]",0.23401808738708496,0.01307535171508789,"[0.0015623841601607967, 1]",6.890296936035156e-05,"[0.007624064572155476, 1.0]",0.010755300521850586
7,IBP,0,0,0.0004,0.002,False,brightness,"[[3.6798708, 11.788044, 25.66313, 33.712337], [22.840794, 31.594494, 58.230053, 67.65791]]",0.23401808738708496,0.025437116622924805,"[0.0015623841601607967, 1]",6.198883056640625e-05,"[0.007624064572155476, 1.0]",0.010476827621459961
8,IBP,0,0,0.0004,0.002,False,contrast,"[[11.116697, 19.677654, 38.37204, 47.174526], [14.127214, 22.775608, 43.273186, 52.379986]]",0.23401808738708496,0.03774857521057129,"[0.4755034557711629, 1]",6.270408630371094e-05,"[0.6669926047325134, 1.0]",0.010429620742797852
9,IBP,0,0,0.0006000000000000001,0.003,True,whitenoise,"[[0, 7.2488112, 18.540436, 25.92953], [28.961, 37.677513, 68.75129, 78.49657]]",0.25142788887023926,0.00200653076171875,"[0, 1]",0.0,"[0, 1]",0.0
10,IBP,0,0,0.0006000000000000001,0.003,True,brightness,"[[0, 7.2488112, 18.540436, 25.92953], [28.961, 37.677513, 68.75129, 78.49657]]",0.25142788887023926,0.003422260284423828,"[0, 1]",0.0,"[0, 1]",0.0
11,IBP,0,0,0.0006000000000000001,0.003,False,contrast,"[[10.381087, 18.916765, 37.166153, 45.89204], [14.905246, 23.564913, 44.539055, 53.705364]]",0.25142788887023926,0.016030311584472656,"[0.33689888908563453, 1]",7.009506225585938e-05,"[0.5807543396949768, 1.0]",0.010710954666137695
12,IBP,0,0,0.0008,0.004,True,whitenoise,"[[0, 3.0611327, 12.810581, 19.32174], [35.56689, 44.013844, 80.07182, 90]]",0.22832012176513672,0.0018744468688964844,"[0, 1]",0.0,"[0, 1]",0.0
13,IBP,0,0,0.0008,0.004,True,brightness,"[[0, 3.0611327, 12.810581, 19.32174], [35.56689, 44.013844, 80.07182, 90]]",0.22832012176513672,0.0033829212188720703,"[0, 1]",0.0,"[0, 1]",0.0
14,IBP,0,0,0.0008,0.004,False,contrast,"[[9.665627, 18.16761, 35.993465, 44.63512], [15.676044, 24.34684, 45.802532, 55.02355]]",0.22832012176513672,0.01601243019104004,"[0.2419538135091656, 1]",6.985664367675781e-05,"[0.5064302086830139, 1.0]",0.010739326477050781
15,IBP,0,0,0.001,0.005,True,whitenoise,"[[0, 0, 7.754204, 13.909318], [42.255672, 50.42776, 90, 90]]",0.2540261745452881,0.0018565654754638672,"[0, 1]",0.0,"[0, 1]",0.0
16,IBP,0,0,0.001,0.005,True,brightness,"[[0, 0, 7.754204, 13.909318], [42.255672, 50.42776, 90, 90]]",0.2540261745452881,0.0032396316528320312,"[0, 1]",0.0,"[0, 1]",0.0
17,IBP,0,0,0.001,0.005,False,contrast,"[[8.956632, 17.422329, 34.832165, 43.3868], [16.45569, 25.130627, 47.077175, 56.344563]]",0.2540261745452881,0.015694618225097656,"[0.17362329074950594, 1]",6.842613220214844e-05,"[0.4279133081436157, 1.0]",0.010626077651977539
18,IBP,0,0,0.0012000000000000001,0.006,True,whitenoise,"[[0, 0, 3.3841588, 9.198827], [49.19439, 57.026012, 90, 90]]",0.26729655265808105,0.0021157264709472656,"[0, 1]",0.0,"[0, 1]",0.0
19,IBP,0,0,0.0012000000000000001,0.006,True,brightness,"[[0, 0, 3.3841588, 9.198827], [49.19439, 57.026012, 90, 90]]",0.26729655265808105,0.003541707992553711,"[0, 1]",0.0,"[0, 1]",0.0
20,IBP,0,0,0.0012000000000000001,0.006,False,contrast,"[[8.246477, 16.679785, 33.673267, 42.136684], [17.251022, 25.926424, 48.374485, 57.689495]]",0.26729655265808105,0.01651597023010254,"[0.1230494912432632, 1]",7.43865966796875e-05,"[0.3395521342754364, 1.0]",0.011051177978515625
21,IBP,0,0,0.0014,0.007,True,whitenoise,"[[0, 0, 0, 5.3230634], [55.4862, 62.952984, 90, 90]]",0.2718017101287842,0.002229928970336914,"[0, 1]",0.0,"[0, 1]",0.0
22,IBP,0,0,0.0014,0.007,True,brightness,"[[0, 0, 0, 5.3230634], [55.4862, 62.952984, 90, 90]]",0.2718017101287842,0.0040531158447265625,"[0, 1]",0.0,"[0, 1]",0.0
23,IBP,0,0,0.0014,0.007,False,contrast,"[[7.536857, 15.943505, 32.518982, 40.88654], [18.055294, 26.732124, 49.685432, 59.04987]]",0.2718017101287842,0.016913890838623047,"[0.08543927389117681, 1]",6.866455078125e-05,"[0.26112887263298035, 1.0]",0.010562896728515625
24,IBP,0,0,0.0016,0.008,True,whitenoise,"[[0, 0, 0, 1.7492337], [62.426437, 69.43557, 90, 90]]",0.3712198734283447,0.0021278858184814453,"[0, 1]",0.0,"[0, 1]",0.0
25,IBP,0,0,0.0016,0.008,True,brightness,"[[0, 0, 0, 1.7492337], [62.426437, 69.43557, 90, 90]]",0.3712198734283447,0.0035185813903808594,"[0, 1]",0.0,"[0, 1]",0.0
26,IBP,0,0,0.0016,0.008,False,contrast,"[[6.844606, 15.218369, 31.376871, 39.656757], [18.862133, 27.543457, 50.99943, 60.416355]]",0.3712198734283447,0.01630377769470215,"[0.057681956963821855, 1]",6.961822509765625e-05,"[0.19336070120334625, 1.0]",0.010900735855102539
27,IBP,0,0,0.0018000000000000002,0.009000000000000001,True,whitenoise,"[[0, 0, 0, 0], [70.06875, 76.64832, 90, 90]]",0.25757384300231934,0.001991748809814453,"[0, 1]",0.0,"[0, 1]",0.0
28,IBP,0,0,0.0018000000000000002,0.009000000000000001,True,brightness,"[[0, 0, 0, 0], [70.06875, 76.64832, 90, 90]]",0.25757384300231934,0.00350189208984375,"[0, 1]",0.0,"[0, 1]",0.0
29,IBP,0,0,0.0018000000000000002,0.009000000000000001,False,contrast,"[[6.163124, 14.501587, 30.246597, 38.44557], [19.665897, 28.357662, 52.308792, 61.78663]]",0.25757384300231934,0.016797304153442383,"[0.03733030359372038, 1]",7.224082946777344e-05,"[0.13614431023597717, 1.0]",0.011292695999145508
30,IBP,0,0,0.002,0.01,True,whitenoise,"[[0, 0, 0, 0], [77.98126, 84.24285, 90, 90]]",0.22958636283874512,0.001962900161743164,"[0, 1]",0.0,"[0, 1]",0.0
31,IBP,0,0,0.002,0.01,True,brightness,"[[0, 0, 0, 0], [77.98126, 84.24285, 90, 90]]",0.22958636283874512,0.003383159637451172,"[0, 1]",0.0,"[0, 1]",0.0
32,IBP,0,0,0.002,0.01,False,contrast,"[[5.5153117, 13.786895, 29.154942, 37.2397], [20.468811, 29.183918, 53.617413, 63.182297]]",0.22958636283874512,0.015920639038085938,"[0.02264481349610171, 1]",7.05718994140625e-05,"[0.08925201743841171, 1.0]",0.010669708251953125
33,IBP+backward (CROWN-IBP),0,0,0.0,0.0,False,whitenoise,"[[12.598661, 21.215336, 40.79225, 49.76159], [12.598661, 21.215336, 40.79225, 49.76159]]",0.43036580085754395,0.015012502670288086,"[0.8802044333571712, 0.8802044333571712]",8.559226989746094e-05,"[0.880204439163208, 0.88020444]",0.011979103088378906
34,IBP+backward (CROWN-IBP),0,0,0.0,0.0,False,brightness,"[[12.598661, 21.215336, 40.79225, 49.76159], [12.598661, 21.215336, 40.79225, 49.76159]]",0.43036580085754395,0.0287017822265625,"[0.8802044333571712, 0.8802044333571712]",7.271766662597656e-05,"[0.880204439163208, 0.88020444]",0.011538267135620117
