,image_id,eps,IoU_vanillaperturbation,elapsed_time_eps_computed_ious,IoU_vanilla,tmps_vanilla,IoU_extension,tmps_extension,IoU_extension_greedy,tmps_greedy
0,0,0.0,whitenoise,0.3183763027191162,"[0.9200497777349927, 0.9200497777349927]",7.295608520507812e-05,"[0.920049786567688, 0.9200498]",0.00822591781616211,"[0.920049786567688, 0.920049786567688]",0.014851808547973633
1,0,0.00392156862745098,whitenoise,0.2539680004119873,"[0.891820420056604, 0.9370244958801011]",6.29425048828125e-05,"[0.898916482925415, 0.93320584]",0.007903099060058594,"[0.898916482925415, 0.9332058429718018]",0.014810800552368164
2,0,0.00784313725490196,whitenoise,0.2874867916107178,"[0.8404500630302933, 0.9676119215898025]",0.00011706352233886719,"[0.8589314818382263, 0.9546253]",0.011213064193725586,"[0.8589314818382263, 0.9546253085136414]",0.02091193199157715
3,0,0.011764705882352941,whitenoise,0.2612779140472412,"[0.7633831254235613, 1]",6.29425048828125e-05,"[0.802028477191925, 0.9837981]",0.008111000061035156,"[0.802028477191925, 0.983798086643219]",0.01542806625366211
4,0,0.01568627450980392,whitenoise,0.24164104461669922,"[0.6440009153302073, 1]",6.103515625e-05,"[0.7324094772338867, 0.99487144]",0.007565021514892578,"[0.7324094772338867, 0.9948714375495911]",0.014430046081542969
5,0,0.0196078431372549,whitenoise,0.23429608345031738,"[0.4923997577149549, 1]",6.079673767089844e-05,"[0.6373139023780823, 1.0]",0.0077419281005859375,"[0.6373139023780823, 1.0]",0.01483011245727539
6,0,0.023529411764705882,whitenoise,0.2335340976715088,"[0.36160582633882776, 1]",6.222724914550781e-05,"[0.5247012376785278, 1.0]",0.007748842239379883,"[0.5247012376785278, 1.0]",0.015171051025390625
7,0,0.027450980392156862,whitenoise,0.24739909172058105,"[0.24733561110325925, 1]",6.198883056640625e-05,"[0.4120482802391052, 1.0]",0.0075070858001708984,"[0.4120482802391052, 1.0]",0.014703750610351562
8,0,0.03137254901960784,whitenoise,0.23634910583496094,"[0.1629166996341264, 1]",6.198883056640625e-05,"[0.3154005706310272, 1.0]",0.0076291561126708984,"[0.3154005706310272, 1.0]",0.014580965042114258
9,0,0.03529411764705882,whitenoise,0.2303481101989746,"[0.1023316112245563, 1]",6.103515625e-05,"[0.23627780377864838, 1.0]",0.007624149322509766,"[0.23627780377864838, 1.0]",0.014611005783081055
10,0,0.0392156862745098,whitenoise,0.24507594108581543,"[0.05767056047418452, 1]",6.341934204101562e-05,"[0.166765958070755, 1.0]",0.007797956466674805,"[0.166765958070755, 1.0]",0.015135049819946289
11,0,0.043137254901960784,whitenoise,0.24080395698547363,"[0.029893187866777606, 1]",6.413459777832031e-05,"[0.11438362300395966, 1.0]",0.00786900520324707,"[0.11438362300395966, 1.0]",0.015285968780517578
12,0,0.047058823529411764,whitenoise,0.2702658176422119,"[0.012531158672255023, 1]",6.389617919921875e-05,"[0.06634055078029633, 1.0]",0.008004188537597656,"[0.06634055078029633, 1.0]",0.01575779914855957
13,0,0.050980392156862744,whitenoise,0.2756650447845459,"[0.0029310447905994868, 1]",6.29425048828125e-05,"[0.017636604607105255, 1.0]",0.007862091064453125,"[0.017636604607105255, 1.0]",0.015202045440673828
14,1,0.0,whitenoise,0.24447107315063477,"[0.8960691517519391, 0.8960691517519391]",6.008148193359375e-05,"[0.8960691690444946, 0.89606917]",0.007409811019897461,"[0.8960691690444946, 0.8960691690444946]",0.013592004776000977
15,1,0.00392156862745098,whitenoise,0.22275686264038086,"[0.8132139985474071, 0.9964814069270109]",6.198883056640625e-05,"[0.8564266562461853, 0.944284]",0.007558107376098633,"[0.8564266562461853, 0.9442840218544006]",0.013949871063232422
16,1,0.00784313725490196,whitenoise,0.23488092422485352,"[0.6631084114428325, 1]",6.29425048828125e-05,"[0.7868385910987854, 0.9945427]",0.007932186126708984,"[0.7868385910987854, 0.9945427179336548]",0.014898061752319336
