,image_id,gt_logit,eps,fake_iou,perturbation,bounds_clip,elapsed_time_perturbation,elapsed_time_eps_computed_ious,IoU_vanilla,tmps_vanilla,IoU_extension,tmps_extension
0,96,0,0.0,False,whitenoise,"[[51.408974, 17.303297, 79.248024, 45.140987], [51.408974, 17.303297, 79.248024, 45.140987]]",0.29176855087280273,0.01468968391418457,"[0.9383136179990833, 0.9383136179990833]",8.392333984375e-05,"[0.9383136034011841, 0.9383136]",0.011083841323852539
1,96,0,0.0,False,brightness,"[[51.408974, 17.303297, 79.248024, 45.140987], [51.408974, 17.303297, 79.248024, 45.140987]]",0.29176855087280273,0.02707958221435547,"[0.9383136179990833, 0.9383136179990833]",6.151199340820312e-05,"[0.9383136034011841, 0.9383136]",0.010191679000854492
2,96,0,0.0,False,contrast,"[[51.408974, 17.303297, 79.248024, 45.140987], [51.408974, 17.303297, 79.248024, 45.140987]]",0.29176855087280273,0.0394284725189209,"[0.9383136179990833, 0.9383136179990833]",6.198883056640625e-05,"[0.9383136034011841, 0.9383136]",0.010175704956054688
3,96,0,3e-05,False,whitenoise,"[[51.29756, 17.239525, 79.09672, 45.045856], [51.781082, 17.462599, 79.817024, 45.48702]]",0.30442190170288086,0.013102293014526367,"[0.8846889134320176, 1]",7.128715515136719e-05,"[0.9134407043457031, 0.9758024]",0.010433673858642578
4,96,0,3e-05,False,brightness,"[[51.312675, 17.245806, 79.11943, 45.059353], [51.777527, 17.460558, 79.812256, 45.48441]]",0.30442190170288086,0.025374889373779297,"[0.8870691937482366, 1]",6.151199340820312e-05,"[0.9148155450820923, 0.9748285]",0.010070085525512695
5,96,0,3e-05,False,contrast,"[[51.408672, 17.303259, 79.247574, 45.14081], [51.40928, 17.303335, 79.248474, 45.14117]]",0.30442190170288086,0.03759455680847168,"[0.9382494986995593, 0.9383777437704406]",6.079673767089844e-05,"[0.938281238079071, 0.93834597]",0.010064840316772461
6,96,0,6e-05,False,whitenoise,"[[51.186096, 17.17575, 78.94535, 44.950695], [52.154762, 17.62248, 80.38843, 45.834476]]",0.28891563415527344,0.013532638549804688,"[0.8237733550151849, 1]",7.510185241699219e-05,"[0.8893837332725525, 0.9937232]",0.010691404342651367
7,96,0,6e-05,False,brightness,"[[51.21633, 17.188313, 78.99079, 44.97769], [52.147648, 17.618397, 80.3789, 45.829258]]",0.28891563415527344,0.025829076766967773,"[0.8299969807794224, 1]",6.127357482910156e-05,"[0.8920455574989319, 0.99327445]",0.010138511657714844
8,96,0,6e-05,False,contrast,"[[51.40837, 17.30322, 79.24713, 45.140625], [51.409607, 17.303377, 79.24895, 45.14136]]",0.28891563415527344,0.03816032409667969,"[0.9381846786769246, 0.9384442065240465]",6.0558319091796875e-05,"[0.9382486343383789, 0.9383801]",0.010166406631469727
9,96,0,9e-05,False,whitenoise,"[[51.071922, 17.110561, 78.791245, 44.854027], [52.534134, 17.785076, 80.96873, 46.187454]]",0.30936408042907715,0.01322627067565918,"[0.7540710233895408, 1]",7.152557373046875e-05,"[0.8657624125480652, 0.9960514]",0.010532855987548828
10,96,0,9e-05,False,brightness,"[[51.11727, 17.129406, 78.8594, 44.894524], [52.523464, 17.778954, 80.95443, 46.17963]]",0.30936408042907715,0.02562546730041504,"[0.7624026677483624, 1]",6.127357482910156e-05,"[0.8696250319480896, 0.9953783]",0.01023101806640625
11,96,0,9e-05,False,contrast,"[[51.40805, 17.303173, 79.246666, 45.140427], [51.409927, 17.303413, 79.24942, 45.141552]]",0.30936408042907715,0.03801131248474121,"[0.9381176970469514, 0.9385121194956672]",6.079673767089844e-05,"[0.9382149577140808, 0.9384147]",0.010226011276245117
12,96,0,0.00012,False,whitenoise,"[[50.942356, 17.038132, 78.61932, 44.747223], [52.933678, 17.957436, 81.58056, 46.560608]]",0.3174874782562256,0.013294696807861328,"[0.6878360196397971, 1]",7.414817810058594e-05,"[0.8383823037147522, 0.9986381]",0.01046442985534668
13,96,0,0.00012,False,brightness,"[[51.003098, 17.063429, 78.71065, 44.801632], [52.91961, 17.949337, 81.56174, 46.55033]]",0.3174874782562256,0.025403738021850586,"[0.6977601504597202, 1]",6.103515625e-05,"[0.8410258889198303, 0.99773467]",0.009977340698242188
14,96,0,0.00012,False,contrast,"[[51.407745, 17.30313, 79.246216, 45.140236], [51.410244, 17.303453, 79.24989, 45.14174]]",0.3174874782562256,0.03745245933532715,"[0.938052311779065, 0.9385788905335246]",6.0558319091796875e-05,"[0.9381821751594543, 0.93844885]",0.009922981262207031
15,96,0,0.00015000000000000001,False,whitenoise,"[[50.806274, 16.961445, 78.438644, 44.63481], [53.333794, 18.131681, 82.19494, 46.93817]]",0.31497740745544434,0.013536453247070312,"[0.6279487848870325, 1]",7.152557373046875e-05,"[0.7970479726791382, 1.0]",0.010610580444335938
16,96,0,0.00015000000000000001,False,brightness,"[[50.88252, 16.993149, 78.553246, 44.703033], [53.31625, 18.121588, 82.17151, 46.925438]]",0.31497740745544434,0.025911331176757812,"[0.6390645853884988, 1]",6.175041198730469e-05,"[0.7987485527992249, 1.0]",0.010194540023803711
17,96,0,0.00015000000000000001,False,contrast,"[[51.40744, 17.303085, 79.24576, 45.14005], [51.41056, 17.303492, 79.25036, 45.14193]]",0.31497740745544434,0.038289546966552734,"[0.9379864921898371, 0.9386453695772898]",6.079673767089844e-05,"[0.9381490349769592, 0.93848264]",0.010204076766967773
18,96,0,0.00018,False,whitenoise,"[[50.67729, 16.888235, 78.27067, 44.531345], [53.736, 18.30861, 82.81304, 47.32016]]",0.31215572357177734,0.012945890426635742,"[0.5751598659065609, 1]",6.914138793945312e-05,"[0.7565966248512268, 1.0]",0.010264396667480469
19,96,0,0.00018,False,brightness,"[[50.76873, 16.926271, 78.408134, 44.61321], [53.715298, 18.296528, 82.785416, 47.305073]]",0.31215572357177734,0.025018930435180664,"[0.5871308329836168, 1]",6.103515625e-05,"[0.7584841251373291, 1.0]",0.009903192520141602
20,96,0,0.00018,False,contrast,"[[51.407135, 17.303043, 79.24531, 45.139862], [51.41088, 17.303532, 79.250824, 45.14211]]",0.31215572357177734,0.037036895751953125,"[0.9379216897198156, 0.9387115658709853]",6.127357482910156e-05,"[0.9381166696548462, 0.9385165]",0.009893417358398438
21,96,0,0.00021,False,whitenoise,"[[50.53659, 16.808395, 78.08953, 44.42054], [54.1789, 18.503613, 83.49765, 47.747063]]",0.3429584503173828,0.014894962310791016,"[0.5233509962326777, 1]",8.559226989746094e-05,"[0.7147458791732788, 1.0]",0.011021137237548828
22,96,0,0.00021,False,brightness,"[[50.6432, 16.852768, 78.24986, 44.516045], [54.15485, 18.489521, 83.46555, 47.729507]]",0.3429584503173828,0.027043581008911133,"[0.5358362239303888, 1]",6.0558319091796875e-05,"[0.7167942523956299, 1.0]",0.010013580322265625
23,96,0,0.00021,False,contrast,"[[51.406822, 17.302998, 79.24486, 45.13967], [51.411194, 17.30357, 79.25129, 45.142303]]",0.3429584503173828,0.039214372634887695,"[0.9378561871402664, 0.9387779208676327]",6.198883056640625e-05,"[0.9380836486816406, 0.9385505]",0.010023355484008789
24,96,0,0.00024,False,whitenoise,"[[50.392128, 16.726357, 77.903534, 44.306736], [54.63924, 18.706076, 84.209274, 48.190582]]",0.2968876361846924,0.013219594955444336,"[0.4755333837163947, 1]",7.104873657226562e-05,"[0.6742343306541443, 1.0]",0.010498046875
25,96,0,0.00024,False,brightness,"[[50.51376, 16.777027, 78.08653, 44.41574], [54.611954, 18.689983, 84.17291, 48.170647]]",0.2968876361846924,0.02560257911682129,"[0.4882846551500872, 1]",6.222724914550781e-05,"[0.6764035820960999, 1.0]",0.010195255279541016
26,96,0,0.00024,False,contrast,"[[51.406513, 17.302954, 79.2444, 45.13948], [51.411514, 17.30361, 79.25176, 45.14249]]",0.2968876361846924,0.03796815872192383,"[0.9377900986830477, 0.9388451473458613]",6.246566772460938e-05,"[0.938050389289856, 0.9385846]",0.010177373886108398
27,96,0,0.00027,False,whitenoise,"[[50.24821, 16.64398, 77.71835, 44.19323], [55.100212, 18.908503, 84.92332, 48.63422]]",0.2948458194732666,0.013321161270141602,"[0.4328030171806544, 1]",7.319450378417969e-05,"[0.6364096403121948, 1.0]",0.010481595993041992
28,96,0,0.00027,False,brightness,"[[50.385025, 16.70098, 77.92422, 44.315865], [55.06952, 18.890385, 84.88242, 48.611774]]",0.2948458194732666,0.025516986846923828,"[0.44570869304151634, 1]",6.127357482910156e-05,"[0.6386907696723938, 1.0]",0.010027885437011719
29,96,0,0.00027,False,contrast,"[[51.406204, 17.302912, 79.24395, 45.139297], [51.411827, 17.303648, 79.25223, 45.142677]]",0.2948458194732666,0.03764939308166504,"[0.9377250365280806, 0.9389110792406876]",6.031990051269531e-05,"[0.9380176067352295, 0.9386182]",0.00999903678894043
30,96,0,0.00030000000000000003,False,whitenoise,"[[50.10073, 16.5623, 77.52763, 44.076664], [55.542152, 19.113365, 85.608, 49.07179]]",0.3155355453491211,0.012953758239746094,"[0.3949858504920789, 1]",7.081031799316406e-05,"[0.6020681858062744, 1.0]",0.010330915451049805
31,96,0,0.00030000000000000003,False,brightness,"[[50.25207, 16.625414, 77.755486, 44.212437], [55.50804, 19.09325, 85.56273, 49.047157]]",0.3155355453491211,0.02505326271057129,"[0.40791211656203924, 1]",6.127357482910156e-05,"[0.6044372916221619, 1.0]",0.009967803955078125
32,96,0,0.00030000000000000003,False,contrast,"[[51.405838, 17.302866, 79.243385, 45.13907], [51.412148, 17.303688, 79.25269, 45.142864]]",0.3155355453491211,0.03712749481201172,"[0.9376503428167013, 0.9389825834491022]",6.103515625e-05,"[0.9379790425300598, 0.93865335]",0.009952783584594727
33,96,0,0.00033,False,whitenoise,"[[49.96005, 16.485321, 77.34614, 43.96598], [55.961872, 19.311012, 86.25711, 49.48986]]",0.31027841567993164,0.013232946395874023,"[0.36242120124441723, 1]",7.081031799316406e-05,"[0.5713711380958557, 1.0]",0.01052546501159668
34,96,0,0.00033,False,brightness,"[[50.12626, 16.554771, 77.59634, 44.115376], [55.92436, 19.289017, 86.20734, 49.46278]]",0.31027841567993164,0.025536060333251953,"[0.3753776478786226, 1]",6.175041198730469e-05,"[0.5738238096237183, 1.0]",0.010147571563720703
35,96,0,0.00033,False,contrast,"[[51.40553, 17.302826, 79.24292, 45.138878], [51.41246, 17.303726, 79.25316, 45.143055]]",0.31027841567993164,0.03786635398864746,"[0.9375839771136294, 0.939049095425159]",6.079673767089844e-05,"[0.9379453659057617, 0.938687]",0.01016378402709961
36,96,0,0.00036,False,whitenoise,"[[49.791397, 16.39927, 77.12147, 43.834717], [56.39255, 19.5225, 86.924095, 49.92385]]",0.3262958526611328,0.013070106506347656,"[0.3304928098705747, 1]",7.128715515136719e-05,"[0.5414930582046509, 1.0]",0.010399818420410156
