,method,image_id,gt_logit,eps,eps_contrast,fake_iou,perturbation,bounds_clip,elapsed_time_perturbation,elapsed_time_eps_computed_ious,IoU_vanilla,tmps_vanilla,IoU_extension,tmps_extension
0,IBP,13,0,0.0,0.0,False,whitenoise,"[[50.93601, 41.441998, 79.36176, 69.649506], [50.93601, 41.441998, 79.36176, 69.649506]]",0.24442720413208008,0.012911558151245117,"[0.9538617052860757, 0.9538617052860757]",7.05718994140625e-05,"[0.9538617134094238, 0.9538617]",0.010502099990844727
1,IBP,13,0,0.0,0.0,False,brightness,"[[50.93601, 41.441998, 79.36176, 69.649506], [50.93601, 41.441998, 79.36176, 69.649506]]",0.24442720413208008,0.024897098541259766,"[0.9538617052860757, 0.9538617052860757]",6.175041198730469e-05,"[0.9538617134094238, 0.9538617]",0.010181903839111328
2,IBP,13,0,0.0,0.0,False,contrast,"[[50.93601, 41.441998, 79.36176, 69.649506], [50.93601, 41.441998, 79.36176, 69.649506]]",0.24442720413208008,0.036818504333496094,"[0.9538617052860757, 0.9538617052860757]",6.198883056640625e-05,"[0.9538617134094238, 0.9538617]",0.010116815567016602
3,IBP,13,0,0.0002,0.001,False,whitenoise,"[[43.103676, 34.11057, 68.39886, 59.35331], [58.907944, 48.895367, 90, 80.3015]]",0.275270938873291,0.014487504959106445,"[0.034815114427630627, 1]",9.632110595703125e-05,"[0.12660132348537445, 1.0]",0.011162757873535156
4,IBP,13,0,0.0002,0.001,False,brightness,"[[43.103676, 34.11057, 68.39886, 59.35331], [58.907944, 48.895367, 90, 80.3015]]",0.275270938873291,0.026523351669311523,"[0.034815114427630627, 1]",7.2479248046875e-05,"[0.12660132348537445, 1.0]",0.010164260864257812
5,IBP,13,0,0.0002,0.001,False,contrast,"[[49.636505, 40.25694, 77.517, 67.910385], [52.23867, 42.62788, 81.21364, 71.39247]]",0.275270938873291,0.03831028938293457,"[0.5665415777799372, 1]",6.175041198730469e-05,"[0.7774710655212402, 1.0]",0.0099334716796875
6,IBP,13,0,0.0004,0.002,True,whitenoise,"[[34.4416, 26.136766, 56.57593, 48.261482], [67.728264, 57.33813, 90, 90]]",0.2655794620513916,0.0020940303802490234,"[0, 1]",0.0,"[0, 1]",0.0
7,IBP,13,0,0.0004,0.002,True,brightness,"[[34.4416, 26.136766, 56.57593, 48.261482], [67.728264, 57.33813, 90, 90]]",0.2655794620513916,0.003880739212036133,"[0, 1]",0.0,"[0, 1]",0.0
8,IBP,13,0,0.0004,0.002,False,contrast,"[[48.34855, 39.077263, 75.70947, 66.20521], [53.540977, 43.812416, 83.06564, 73.134224]]",0.2655794620513916,0.016315698623657227,"[0.33770971975581027, 1]",7.2479248046875e-05,"[0.6321837902069092, 1.0]",0.01061868667602539
9,IBP,13,0,0.0006000000000000001,0.003,True,whitenoise,"[[25.143742, 17.510487, 44.09367, 36.49606], [77.39617, 66.50022, 90, 90]]",0.283724308013916,0.001977682113647461,"[0, 1]",0.0,"[0, 1]",0.0
10,IBP,13,0,0.0006000000000000001,0.003,True,brightness,"[[25.143742, 17.510487, 44.09367, 36.49606], [77.39617, 66.50022, 90, 90]]",0.283724308013916,0.0033006668090820312,"[0, 1]",0.0,"[0, 1]",0.0
11,IBP,13,0,0.0006000000000000001,0.003,False,contrast,"[[47.063793, 37.899124, 73.90512, 64.505], [54.844296, 44.997536, 84.919495, 74.87702]]",0.283724308013916,0.015573263168334961,"[0.20520373056352553, 1]",7.367134094238281e-05,"[0.474270761013031, 1.0]",0.010472774505615234
12,IBP,13,0,0.0008,0.004,True,whitenoise,"[[16.453766, 9.522442, 32.856457, 26.13718], [87.14749, 75.84732, 90, 90]]",0.24935436248779297,0.002008199691772461,"[0, 1]",0.0,"[0, 1]",0.0
13,IBP,13,0,0.0008,0.004,True,brightness,"[[16.453766, 9.522442, 32.856457, 26.13718], [87.14749, 75.84732, 90, 90]]",0.24935436248779297,0.003396272659301758,"[0, 1]",0.0,"[0, 1]",0.0
14,IBP,13,0,0.0008,0.004,False,contrast,"[[45.793858, 36.729233, 72.122604, 62.818687], [56.144802, 46.17823, 86.76929, 76.61539]]",0.24935436248779297,0.0157928466796875,"[0.12352199588613895, 1]",7.343292236328125e-05,"[0.3391300141811371, 1.0]",0.010604381561279297
15,IBP,13,0,0.001,0.005,True,whitenoise,"[[8.4454155, 2.4570086, 22.841724, 17.242928], [90, 85.06791, 90, 90]]",0.26281261444091797,0.0018777847290039062,"[0, 1]",0.0,"[0, 1]",0.0
16,IBP,13,0,0.001,0.005,True,brightness,"[[8.4454155, 2.4570086, 22.841724, 17.242928], [90, 85.06791, 90, 90]]",0.26281261444091797,0.0032362937927246094,"[0, 1]",0.0,"[0, 1]",0.0
