,method,image_id,eps,eps_contrast,fake_iou,perturbation,bounds_clip,elapsed_time_perturbation,elapsed_time_eps_computed_ious,IoU_vanilla,tmps_vanilla,IoU_extension,tmps_extension
0,IBP,86,0.0,0.0,False,whitenoise,"[[99.81183, 134.09534, 108.92698, 144.37517], [99.81183, 134.09534, 108.92698, 144.37517]]",0.5591306686401367,0.013160943984985352,"[0.6031140668083438, 0.6031140668083438]",7.295608520507812e-05,"[0.6031140685081482, 0.60311407]",0.01055598258972168
1,IBP,86,0.0,0.0,False,brightness,"[[99.81183, 134.09534, 108.92698, 144.37517], [99.81183, 134.09534, 108.92698, 144.37517]]",0.5591306686401367,0.025203466415405273,"[0.6031140668083438, 0.6031140668083438]",6.151199340820312e-05,"[0.6031140685081482, 0.60311407]",0.010189533233642578
2,IBP,86,0.0,0.0,False,contrast,"[[99.81183, 134.09534, 108.92698, 144.37517], [99.81183, 134.09534, 108.92698, 144.37517]]",0.5591306686401367,0.03723740577697754,"[0.6031140668083438, 0.6031140668083438]",6.246566772460938e-05,"[0.6031140685081482, 0.60311407]",0.010190963745117188
3,IBP,86,2e-05,0.01,False,whitenoise,"[[97.717606, 132.2496, 106.78068, 142.40858], [101.90608, 135.94168, 111.072975, 146.3423]]",0.4691474437713623,0.01360177993774414,"[0.12678381984718265, 1]",7.343292236328125e-05,"[0.27797526121139526, 1.0]",0.011247873306274414
4,IBP,86,2e-05,0.01,False,brightness,"[[97.717606, 132.2496, 106.78068, 142.40858], [101.90608, 135.94168, 111.072975, 146.3423]]",0.4691474437713623,0.026440143585205078,"[0.12678381984718265, 1]",6.67572021484375e-05,"[0.27797526121139526, 1.0]",0.010889053344726562
5,IBP,86,2e-05,0.01,True,contrast,"[[0, 0, 0, 0], [256, 256, 256, 256]]",0.4691474437713623,0.027907371520996094,"[0, 1]",0.0,"[0, 1]",0.0
6,IBP,86,4e-05,0.02,False,whitenoise,"[[95.62704, 130.40778, 104.63797, 140.44604], [103.996895, 137.78561, 113.21529, 148.30676]]",0.48262619972229004,0.014350652694702148,"[0.00421061049379642, 1]",8.7738037109375e-05,"[0.018548425287008286, 1.0]",0.011665582656860352
7,IBP,86,4e-05,0.02,False,brightness,"[[95.62704, 130.40778, 104.63797, 140.44604], [103.996895, 137.78561, 113.21529, 148.30676]]",0.48262619972229004,0.02666640281677246,"[0.00421061049379642, 1]",6.222724914550781e-05,"[0.018548425287008286, 1.0]",0.010484457015991211
8,IBP,86,4e-05,0.02,True,contrast,"[[0, 0, 0, 0], [256, 256, 256, 256]]",0.48262619972229004,0.028026103973388672,"[0, 1]",0.0,"[0, 1]",0.0
9,IBP,86,6.000000000000001e-05,0.03,True,whitenoise,"[[93.53323, 128.56317, 102.49164, 138.48041], [106.14029, 139.64288, 115.4104, 150.28543]]",0.4879734516143799,0.0017969608306884766,"[0, 1]",0.0,"[0, 1]",0.0
10,IBP,86,6.000000000000001e-05,0.03,True,brightness,"[[93.53323, 128.56317, 102.49164, 138.48041], [106.14029, 139.64288, 115.4104, 150.28543]]",0.4879734516143799,0.0030863285064697266,"[0, 1]",0.0,"[0, 1]",0.0
11,IBP,86,6.000000000000001e-05,0.03,True,contrast,"[[0, 0, 0, 0], [256, 256, 256, 256]]",0.4879734516143799,0.004411458969116211,"[0, 1]",0.0,"[0, 1]",0.0
12,IBP,86,8e-05,0.04,True,whitenoise,"[[91.438866, 126.71985, 100.34508, 136.51248], [108.5671, 141.55685, 117.89177, 152.32233]]",0.5120730400085449,0.002107381820678711,"[0, 1]",0.0,"[0, 1]",0.0
13,IBP,86,8e-05,0.04,True,brightness,"[[91.438866, 126.71985, 100.34508, 136.51248], [108.5671, 141.55685, 117.89177, 152.32233]]",0.5120730400085449,0.0036623477935791016,"[0, 1]",0.0,"[0, 1]",0.0
14,IBP,86,8e-05,0.04,True,contrast,"[[0, 0, 0, 0], [256, 256, 256, 256]]",0.5120730400085449,0.005294322967529297,"[0, 1]",0.0,"[0, 1]",0.0
15,IBP,86,0.0001,0.05,True,whitenoise,"[[89.321976, 124.86272, 98.17776, 134.51176], [111.01669, 143.50206, 120.39901, 154.37834]]",0.5085403919219971,0.0032241344451904297,"[0, 1]",0.0,"[0, 1]",0.0
16,IBP,86,0.0001,0.05,True,brightness,"[[89.321976, 124.86272, 98.17776, 134.51176], [111.01669, 143.50206, 120.39901, 154.37834]]",0.5085403919219971,0.004885673522949219,"[0, 1]",0.0,"[0, 1]",0.0
17,IBP,86,0.0001,0.05,True,contrast,"[[0, 0, 0, 0], [256, 256, 256, 256]]",0.5085403919219971,0.006609201431274414,"[0, 1]",0.0,"[0, 1]",0.0
18,IBP,86,0.00012000000000000002,0.06,True,whitenoise,"[[87.20743, 123.00808, 96.012825, 132.5136], [113.46394, 145.44595, 122.90382, 156.43285]]",0.4737062454223633,0.0017421245574951172,"[0, 1]",0.0,"[0, 1]",0.0
19,IBP,86,0.00012000000000000002,0.06,True,brightness,"[[87.20743, 123.00808, 96.012825, 132.5136], [113.46394, 145.44595, 122.90382, 156.43285]]",0.4737062454223633,0.003055095672607422,"[0, 1]",0.0,"[0, 1]",0.0
20,IBP,86,0.00012000000000000002,0.06,True,contrast,"[[0, 0, 0, 0], [256, 256, 256, 256]]",0.4737062454223633,0.004381895065307617,"[0, 1]",0.0,"[0, 1]",0.0
21,IBP,86,0.00014000000000000001,0.07,True,whitenoise,"[[85.091736, 121.15585, 93.84542, 130.51254], [115.91516, 147.39423, 125.412544, 158.4834]]",0.4830648899078369,0.001984834671020508,"[0, 1]",0.0,"[0, 1]",0.0
22,IBP,86,0.00014000000000000001,0.07,True,brightness,"[[85.091736, 121.15585, 93.84542, 130.51254], [115.91516, 147.39423, 125.412544, 158.4834]]",0.4830648899078369,0.0033185482025146484,"[0, 1]",0.0,"[0, 1]",0.0
23,IBP,86,0.00014000000000000001,0.07,True,contrast,"[[0, 0, 0, 0], [256, 256, 256, 256]]",0.4830648899078369,0.004655361175537109,"[0, 1]",0.0,"[0, 1]",0.0
24,IBP,86,0.00016,0.08,True,whitenoise,"[[83.0211, 119.38132, 91.715164, 128.5502], [118.32686, 149.32397, 127.87723, 160.45264]]",0.47664880752563477,0.0017740726470947266,"[0, 1]",0.0,"[0, 1]",0.0
25,IBP,86,0.00016,0.08,True,brightness,"[[83.0211, 119.38132, 91.715164, 128.5502], [118.32686, 149.32397, 127.87723, 160.45264]]",0.47664880752563477,0.0030524730682373047,"[0, 1]",0.0,"[0, 1]",0.0
26,IBP,86,0.00016,0.08,True,contrast,"[[0, 0, 0, 0], [256, 256, 256, 256]]",0.47664880752563477,0.004381895065307617,"[0, 1]",0.0,"[0, 1]",0.0
27,IBP,86,0.00018,0.09,True,whitenoise,"[[80.94896, 117.60922, 89.58301, 126.58827], [120.73866, 151.2558, 130.34152, 162.42177]]",0.5027687549591064,0.002002716064453125,"[0, 1]",0.0,"[0, 1]",0.0
28,IBP,86,0.00018,0.09,True,brightness,"[[80.94896, 117.60922, 89.58301, 126.58827], [120.73866, 151.2558, 130.34152, 162.42177]]",0.5027687549591064,0.0033104419708251953,"[0, 1]",0.0,"[0, 1]",0.0
29,IBP,86,0.00018,0.09,True,contrast,"[[0, 0, 0, 0], [256, 256, 256, 256]]",0.5027687549591064,0.004660844802856445,"[0, 1]",0.0,"[0, 1]",0.0
30,IBP,86,0.0002,0.1,True,whitenoise,"[[78.90242, 115.885155, 87.53269, 124.700294], [123.038864, 153.1072, 132.75868, 164.3434]]",0.5000259876251221,0.0018846988677978516,"[0, 1]",0.0,"[0, 1]",0.0
31,IBP,86,0.0002,0.1,True,brightness,"[[78.90242, 115.885155, 87.53269, 124.700294], [123.038864, 153.1072, 132.75868, 164.3434]]",0.5000259876251221,0.00323486328125,"[0, 1]",0.0,"[0, 1]",0.0
32,IBP,86,0.0002,0.1,True,contrast,"[[0, 0, 0, 0], [256, 256, 256, 256]]",0.5000259876251221,0.004635810852050781,"[0, 1]",0.0,"[0, 1]",0.0
