,image_id,gt_logit,eps,fake_iou,perturbation,elapsed_time_perturbation,elapsed_time_eps_computed_ious,IoU_vanilla,tmps_vanilla,IoU_extension,tmps_extension
0,3,0,0.0,False,whitenoise,0.24539399147033691,0.012928009033203125,"[0.6754677129393701, 0.6754677129393701]",7.82012939453125e-05,"[0.6754677295684814, 0.6754677]",0.010724782943725586
1,3,0,0.005,False,whitenoise,0.24004197120666504,0.009998083114624023,"[0.6236320828803835, 0.7473092811066798]",6.413459777832031e-05,"[0.6522141098976135, 0.7127636]",0.008121728897094727
2,3,0,0.01,False,whitenoise,0.24515604972839355,0.009762048721313477,"[0.5288305382937828, 0.9726811549871226]",6.508827209472656e-05,"[0.6094729900360107, 0.81955934]",0.007950782775878906
3,3,0,0.015,False,whitenoise,0.24232888221740723,0.009923219680786133,"[0.4157106780147225, 1]",7.891654968261719e-05,"[0.5565510988235474, 0.94707227]",0.008054018020629883
4,3,0,0.02,False,whitenoise,0.30681800842285156,0.009420156478881836,"[0.27597955138960395, 1]",6.175041198730469e-05,"[0.5012093186378479, 1.0]",0.007651090621948242
5,3,0,0.025,False,whitenoise,0.24576497077941895,0.012846708297729492,"[0.1589068115488486, 1]",7.700920104980469e-05,"[0.3997384309768677, 1.0]",0.010525226593017578
6,3,0,0.03,False,whitenoise,0.26012492179870605,0.009428024291992188,"[0.08217400585869157, 1]",6.389617919921875e-05,"[0.259758859872818, 1.0]",0.0076580047607421875
7,3,0,0.035,False,whitenoise,0.2350761890411377,0.009708642959594727,"[0.03530065659582702, 1]",6.198883056640625e-05,"[0.13827092945575714, 1.0]",0.007910966873168945
8,3,0,0.04,False,whitenoise,0.23973608016967773,0.010617733001708984,"[0.007679523434953934, 1]",6.723403930664062e-05,"[0.03738719969987869, 1.0]",0.008710861206054688
9,3,0,0.045,True,whitenoise,0.2524302005767822,0.0013210773468017578,"[0, 1]",0.0,"[0, 1]",0.0
10,3,0,0.05,True,whitenoise,0.23621201515197754,0.0014331340789794922,"[0, 1]",0.0,"[0, 1]",0.0
