,method,image_id,eps,fake_iou,perturbation,bounds_clip,ub_box,lb_box,gt,elapsed_time_perturbation,elapsed_time_eps_computed_ious,IoU_vanilla,tmps_vanilla,IoU_extension,tmps_extension
0,backward (CROWN),2,0.0,False,brightness,"[[65.2478, 91.63695, 90.06029, 112.29341], [65.2478, 91.63695, 90.06029, 112.29341]]","[65.2478, 91.63695, 90.06029, 112.29341]","[65.2478, 91.63695, 90.06029, 112.29341]",[ 64.732025  91.16616   89.51634  111.75831 ],0.35511183738708496,0.009713888168334961,"[0.9134497259389366, 0.9134497259389366]",6.103515625e-05,"[0.9134497046470642, 0.9134497]",0.007879018783569336
1,backward (CROWN),2,0.002,False,brightness,"[[65.20316, 91.48068, 89.91921, 112.07859], [65.29095, 91.79476, 90.203514, 112.50913]]","[65.29095, 91.79476, 90.203514, 112.50913]","[65.20316, 91.48068, 89.91921, 112.07859]",[ 64.732025  91.16616   89.51634  111.75831 ],3.135322093963623,0.010163068771362305,"[0.8754085675418974, 0.9537811018117928]",6.604194641113281e-05,"[0.891005277633667, 0.93649113]",0.008109092712402344
2,backward (CROWN),2,0.004,False,brightness,"[[65.11902, 91.30076, 89.73791, 111.8321], [65.38877, 91.982895, 90.389626, 112.76133]]","[65.38877, 91.982895, 90.389626, 112.76133]","[65.11902, 91.30076, 89.73791, 111.8321]",[ 64.732025  91.16616   89.51634  111.75831 ],4.358314037322998,0.009947776794433594,"[0.8290011953553361, 1]",6.413459777832031e-05,"[0.8632631897926331, 0.96593416]",0.008049726486206055
3,backward (CROWN),2,0.006,False,brightness,"[[64.98441, 91.09435, 89.510506, 111.55187], [65.52535, 92.229065, 90.67158, 113.086]]","[65.52535, 92.229065, 90.67158, 113.086]","[64.98441, 91.09435, 89.510506, 111.55187]",[ 64.732025  91.16616   89.51634  111.75831 ],5.361005067825317,0.009876012802124023,"[0.7575298199926336, 1]",6.604194641113281e-05,"[0.8273317217826843, 0.98981667]",0.007966041564941406
4,backward (CROWN),2,0.008,False,brightness,"[[64.727455, 90.856125, 89.22894, 111.230385], [65.80309, 92.607315, 91.24672, 113.575]]","[65.80309, 92.607315, 91.24672, 113.575]","[64.727455, 90.856125, 89.22894, 111.230385]",[ 64.732025  91.16616   89.51634  111.75831 ],6.589468955993652,0.009805917739868164,"[0.6447951653154395, 1]",6.29425048828125e-05,"[0.7700760364532471, 1.0]",0.007910013198852539
5,backward (CROWN),2,0.01,False,brightness,"[[64.29481, 90.57147, 88.87727, 110.835236], [66.51157, 93.141975, 92.24439, 114.23789]]","[66.51157, 93.141975, 92.24439, 114.23789]","[64.29481, 90.57147, 88.87727, 110.835236]",[ 64.732025  91.16616   89.51634  111.75831 ],7.7516679763793945,0.011343240737915039,"[0.5098811063334774, 1]",7.200241088867188e-05,"[0.6852720975875854, 1.0]",0.009176015853881836
6,backward (CROWN),2,0.012,False,brightness,"[[63.596603, 90.21191, 88.36537, 110.337654], [67.56821, 93.815, 93.61268, 115.01717]]","[67.56821, 93.815, 93.61268, 115.01717]","[63.596603, 90.21191, 88.36537, 110.337654]",[ 64.732025  91.16616   89.51634  111.75831 ],7.740773916244507,0.01135110855102539,"[0.3770725984273697, 1]",7.486343383789062e-05,"[0.5889021158218384, 1.0]",0.009148120880126953
7,backward (CROWN),2,0.014,False,brightness,"[[62.8211, 89.761635, 87.6692, 109.6941], [69.40519, 94.82155, 95.69548, 116.181465]]","[69.40519, 94.82155, 95.69548, 116.181465]","[62.8211, 89.761635, 87.6692, 109.6941]",[ 64.732025  91.16616   89.51634  111.75831 ],8.397583961486816,0.01007986068725586,"[0.2453181776088337, 1]",6.29425048828125e-05,"[0.46576839685440063, 1.0]",0.008114337921142578
8,backward (CROWN),2,0.016,False,brightness,"[[61.76513, 89.212425, 86.74654, 108.88365], [72.45208, 96.205795, 98.93272, 117.755325]]","[72.45208, 96.205795, 98.93272, 117.755325]","[61.76513, 89.212425, 86.74654, 108.88365]",[ 64.732025  91.16616   89.51634  111.75831 ],9.084702014923096,0.010822057723999023,"[0.1303753692161263, 1]",7.224082946777344e-05,"[0.3253888487815857, 1.0]",0.008709907531738281
9,backward (CROWN),2,0.018000000000000002,False,brightness,"[[60.357132, 88.54357, 85.57606, 107.87815], [76.55069, 97.96759, 103.22677, 119.70594]]","[76.55069, 97.96759, 103.22677, 119.70594]","[60.357132, 88.54357, 85.57606, 107.87815]",[ 64.732025  91.16616   89.51634  111.75831 ],10.147737979888916,0.011201143264770508,"[0.05091339838569983, 1]",6.985664367675781e-05,"[0.17526070773601532, 1.0]",0.00907588005065918
10,backward (CROWN),2,0.02,False,brightness,"[[58.259987, 87.783745, 83.99629, 106.664536], [81.473465, 100.209274, 108.551575, 122.10954]]","[81.473465, 100.209274, 108.551575, 122.10954]","[58.259987, 87.783745, 83.99629, 106.664536]",[ 64.732025  91.16616   89.51634  111.75831 ],10.346692085266113,0.011186361312866211,"[0.007334573546132956, 1]",6.723403930664062e-05,"[0.031909700483083725, 1.0]",0.009161949157714844
