,method,image_id,eps,fake_iou,perturbation,bounds_clip,ub_box,lb_box,gt,elapsed_time_perturbation,elapsed_time_eps_computed_ious,IoU_vanilla,tmps_vanilla,IoU_extension,tmps_extension
0,backward (CROWN),1,0.0,False,brightness,"[[155.17888, 102.811485, 180.28995, 121.74541], [155.17888, 102.811485, 180.28995, 121.74541]]","[155.17888, 102.811485, 180.28995, 121.74541]","[155.17888, 102.811485, 180.28995, 121.74541]",[154.77124 102.09064 180.18301 120.9426 ],0.44441699981689453,0.010938882827758789,"[0.9046069211142195, 0.9046069211142195]",7.009506225585938e-05,"[0.9046069383621216, 0.90460694]",0.008810997009277344
1,backward (CROWN),1,0.002,False,brightness,"[[154.60437, 102.53485, 179.56694, 121.3811], [155.76324, 103.10214, 181.02534, 122.12671]]","[155.76324, 103.10214, 181.02534, 122.12671]","[154.60437, 102.53485, 179.56694, 121.3811]",[154.77124 102.09064 180.18301 120.9426 ],3.4319212436676025,0.010063886642456055,"[0.7423903039247676, 1]",6.198883056640625e-05,"[0.831407904624939, 0.9542407]",0.008163213729858398
2,backward (CROWN),1,0.004,False,brightness,"[[153.93146, 102.2357, 178.74521, 120.98955], [156.5405, 103.46641, 181.94795, 122.5918]]","[156.5405, 103.46641, 181.94795, 122.5918]","[153.93146, 102.2357, 178.74521, 120.98955]",[154.77124 102.09064 180.18301 120.9426 ],4.89764666557312,0.011467933654785156,"[0.5867915628054922, 1]",7.295608520507812e-05,"[0.7487768530845642, 0.98983985]",0.009299039840698242
3,backward (CROWN),1,0.006,False,brightness,"[[153.15198, 101.92059, 177.81055, 120.57412], [157.64682, 103.933655, 183.20537, 123.17109]]","[157.64682, 103.933655, 183.20537, 123.17109]","[153.15198, 101.92059, 177.81055, 120.57412]",[154.77124 102.09064 180.18301 120.9426 ],5.901760101318359,0.011884927749633789,"[0.42897403660061645, 1]",7.700920104980469e-05,"[0.6525365710258484, 1.0]",0.009638309478759766
4,backward (CROWN),1,0.008,False,brightness,"[[152.20201, 101.556625, 176.69841, 120.09935], [159.10977, 104.53174, 184.81715, 123.89086]]","[159.10977, 104.53174, 184.81715, 123.89086]","[152.20201, 101.556625, 176.69841, 120.09935]",[154.77124 102.09064 180.18301 120.9426 ],6.428640842437744,0.01198267936706543,"[0.29326129393228756, 1]",7.581710815429688e-05,"[0.543671190738678, 1.0]",0.009751081466674805
5,backward (CROWN),1,0.01,False,brightness,"[[150.89082, 101.085365, 175.2177, 119.497055], [160.85265, 105.26429, 186.69737, 124.726036]]","[160.85265, 105.26429, 186.69737, 124.726036]","[150.89082, 101.085365, 175.2177, 119.497055]",[154.77124 102.09064 180.18301 120.9426 ],7.267432928085327,0.011948108673095703,"[0.18236976640771008, 1]",7.581710815429688e-05,"[0.4222254157066345, 1.0]",0.009710073471069336
6,backward (CROWN),1,0.012,False,brightness,"[[149.18866, 100.45978, 173.33412, 118.79139], [163.31316, 106.20875, 189.51689, 125.75504]]","[163.31316, 106.20875, 189.51689, 125.75504]","[149.18866, 100.45978, 173.33412, 118.79139]",[154.77124 102.09064 180.18301 120.9426 ],8.045958995819092,0.011684179306030273,"[0.09182988117060419, 1]",7.700920104980469e-05,"[0.2632024586200714, 1.0]",0.009349822998046875
7,backward (CROWN),1,0.014,False,brightness,"[[146.98065, 99.697, 170.88512, 117.98019], [167.20807, 107.58783, 194.01093, 127.24188]]","[167.20807, 107.58783, 194.01093, 127.24188]","[146.98065, 99.697, 170.88512, 117.98019]",[154.77124 102.09064 180.18301 120.9426 ],8.82354998588562,0.011349916458129883,"[0.022008505572810005, 1]",7.414817810058594e-05,"[0.07976674288511276, 1.0]",0.00917196273803711
8,backward (CROWN),1,0.016,True,brightness,"[[143.68828, 98.62356, 167.31693, 116.831276], [172.6945, 109.54148, 200.36014, 129.37495]]","[172.6945, 109.54148, 200.36014, 129.37495]","[143.68828, 98.62356, 167.31693, 116.831276]",[154.77124 102.09064 180.18301 120.9426 ],9.407680034637451,0.0015969276428222656,"[0, 1]",0.0,"[0, 1]",0.0
9,backward (CROWN),1,0.018000000000000002,True,brightness,"[[138.701, 97.22971, 161.87643, 115.32917], [179.18593, 112.07219, 207.93338, 132.05714]]","[179.18593, 112.07219, 207.93338, 132.05714]","[138.701, 97.22971, 161.87643, 115.32917]",[154.77124 102.09064 180.18301 120.9426 ],10.343701124191284,0.0016536712646484375,"[0, 1]",0.0,"[0, 1]",0.0
10,backward (CROWN),1,0.02,True,brightness,"[[131.12175, 95.69261, 154.74255, 113.60463], [186.78198, 115.24075, 216.60048, 135.32626]]","[186.78198, 115.24075, 216.60048, 135.32626]","[131.12175, 95.69261, 154.74255, 113.60463]",[154.77124 102.09064 180.18301 120.9426 ],11.355273962020874,0.0016849040985107422,"[0, 1]",0.0,"[0, 1]",0.0
