,method,image_id,eps,fake_iou,perturbation,bounds_clip,ub_box,lb_box,gt,elapsed_time_perturbation,elapsed_time_eps_computed_ious,IoU_vanilla,tmps_vanilla,IoU_extension,tmps_extension
0,backward (CROWN),89,0.0,False,brightness,"[[167.52846, 109.198746, 176.59741, 119.293076], [167.52846, 109.198746, 176.59741, 119.293076]]","[167.52846, 109.198746, 176.59741, 119.293076]","[167.52846, 109.198746, 176.59741, 119.293076]",[166.37909 107.60121 175.26797 117.65559],0.3697550296783447,0.009464025497436523,"[0.5668529304314782, 0.5668529304314782]",6.198883056640625e-05,"[0.5668529272079468, 0.5668529]",0.007643222808837891
1,backward (CROWN),89,0.002,False,brightness,"[[167.22255, 109.02464, 176.3989, 119.14063], [167.83699, 109.379814, 176.79694, 119.45246]]","[167.83699, 109.379814, 176.79694, 119.45246]","[167.22255, 109.02464, 176.3989, 119.14063]",[166.37909 107.60121 175.26797 117.65559],2.4859962463378906,0.0096588134765625,"[0.4815183982378829, 0.6708896588767862]",6.413459777832031e-05,"[0.5206087827682495, 0.6158156]",0.00782012939453125
2,backward (CROWN),89,0.004,False,brightness,"[[166.88005, 108.836235, 176.15872, 118.97147], [168.18825, 109.58874, 177.04181, 119.64]]","[168.18825, 109.58874, 177.04181, 119.64]","[166.88005, 108.836235, 176.15872, 118.97147]",[166.37909 107.60121 175.26797 117.65559],3.7930171489715576,0.010580062866210938,"[0.4020595491596493, 0.8203064702019077]",7.43865966796875e-05,"[0.47101709246635437, 0.67596513]",0.008459806442260742
3,backward (CROWN),89,0.006,False,brightness,"[[166.49619, 108.63297, 175.87146, 118.78451], [168.58104, 109.8246, 177.3312, 119.85525]]","[168.58104, 109.8246, 177.3312, 119.85525]","[166.49619, 108.63297, 175.87146, 118.78451]",[166.37909 107.60121 175.26797 117.65559],4.844186782836914,0.009952068328857422,"[0.33017109705733344, 1]",7.104873657226562e-05,"[0.4196719825267792, 0.7508881]",0.007899045944213867
4,backward (CROWN),89,0.008,False,brightness,"[[166.06514, 108.41149, 175.53116, 118.5774], [169.02328, 110.08571, 177.67464, 120.09578]]","[169.02328, 110.08571, 177.67464, 120.09578]","[166.06514, 108.41149, 175.53116, 118.5774]",[166.37909 107.60121 175.26797 117.65559],6.4154417514801025,0.01123809814453125,"[0.2659449126112479, 1]",7.486343383789062e-05,"[0.3672965168952942, 0.8197167]",0.009099960327148438
5,backward (CROWN),89,0.01,False,brightness,"[[165.58705, 108.17298, 175.1332, 118.34931], [169.51967, 110.37202, 178.07724, 120.36202]]","[169.51967, 110.37202, 178.07724, 120.36202]","[165.58705, 108.17298, 175.1332, 118.34931]",[166.37909 107.60121 175.26797 117.65559],7.392744064331055,0.01018071174621582,"[0.20368995943894108, 1]",6.818771362304688e-05,"[0.31481218338012695, 0.8822586]",0.008231878280639648
6,backward (CROWN),89,0.012,False,brightness,"[[165.06271, 107.91673, 174.65082, 118.10332], [170.07097, 110.686646, 178.53871, 120.66162]]","[170.07097, 110.686646, 178.53871, 120.66162]","[165.06271, 107.91673, 174.65082, 118.10332]",[166.37909 107.60121 175.26797 117.65559],7.03813099861145,0.01186990737915039,"[0.13924921995335, 1]",7.510185241699219e-05,"[0.26317110657691956, 0.9273238]",0.009725809097290039
7,backward (CROWN),89,0.014,False,brightness,"[[164.50084, 107.65047, 174.11697, 117.84378], [170.69731, 111.034355, 179.08241, 120.99636]]","[170.69731, 111.034355, 179.08241, 120.99636]","[164.50084, 107.65047, 174.11697, 117.84378]",[166.37909 107.60121 175.26797 117.65559],7.806335926055908,0.01279902458190918,"[0.08664153896511323, 1]",7.700920104980469e-05,"[0.21216465532779694, 0.97681725]",0.010571002960205078
8,backward (CROWN),89,0.016,False,brightness,"[[163.87686, 107.36658, 173.51117, 117.55817], [171.35335, 111.420425, 179.67027, 121.36783]]","[171.35335, 111.420425, 179.67027, 121.36783]","[163.87686, 107.36658, 173.51117, 117.55817]",[166.37909 107.60121 175.26797 117.65559],8.272405862808228,0.010720968246459961,"[0.044554760961226715, 1]",7.414817810058594e-05,"[0.13815993070602417, 1.0]",0.008604764938354492
9,backward (CROWN),89,0.018000000000000002,False,brightness,"[[163.17642, 107.05759, 172.81651, 117.24176], [172.06683, 111.83905, 180.31987, 121.77483]]","[172.06683, 111.83905, 180.31987, 121.77483]","[163.17642, 107.05759, 172.81651, 117.24176]",[166.37909 107.60121 175.26797 117.65559],8.113691091537476,0.011359691619873047,"[0.011996404486729456, 1]",7.796287536621094e-05,"[0.04531948268413544, 1.0]",0.009174823760986328
10,backward (CROWN),89,0.02,True,brightness,"[[162.43317, 106.73736, 172.0717, 116.913216], [172.83353, 112.28726, 181.03525, 122.21334]]","[172.83353, 112.28726, 181.03525, 122.21334]","[162.43317, 106.73736, 172.0717, 116.913216]",[166.37909 107.60121 175.26797 117.65559],8.232947826385498,0.0016949176788330078,"[0, 1]",0.0,"[0, 1]",0.0
