,method,image_id,eps,fake_iou,perturbation,bounds_clip,ub_box,lb_box,gt,elapsed_time_perturbation,elapsed_time_eps_computed_ious,IoU_vanilla,tmps_vanilla,IoU_extension,tmps_extension
0,backward (CROWN),1,0.0,False,brightness,"[[155.17888, 102.811485, 180.28995, 121.74541], [155.17888, 102.811485, 180.28995, 121.74541]]","[155.17888, 102.811485, 180.28995, 121.74541]","[155.17888, 102.811485, 180.28995, 121.74541]",[154.77124 102.09064 180.18301 120.9426 ],0.4614708423614502,0.01131892204284668,"[0.9046069211142195, 0.9046069211142195]",7.081031799316406e-05,"[0.9046069383621216, 0.90460694]",0.009155035018920898
1,backward (CROWN),1,0.01,False,brightness,"[[150.89082, 101.085365, 175.2177, 119.497055], [160.85265, 105.26429, 186.69737, 124.726036]]","[160.85265, 105.26429, 186.69737, 124.726036]","[150.89082, 101.085365, 175.2177, 119.497055]",[154.77124 102.09064 180.18301 120.9426 ],7.809700012207031,0.011390924453735352,"[0.18236976640771008, 1]",7.390975952148438e-05,"[0.4222254157066345, 1.0]",0.009181022644042969
2,backward (CROWN),1,0.02,True,brightness,"[[131.12175, 95.69261, 154.74255, 113.60463], [186.78198, 115.24075, 216.60048, 135.32626]]","[186.78198, 115.24075, 216.60048, 135.32626]","[131.12175, 95.69261, 154.74255, 113.60463]",[154.77124 102.09064 180.18301 120.9426 ],11.742259979248047,0.0017838478088378906,"[0, 1]",0.0,"[0, 1]",0.0
3,backward (CROWN),1,0.03,True,brightness,"[[55.399117, 74.53289, 74.284546, 93.41619], [256, 150.53528, 256, 171.18976]]","[256, 150.53528, 256, 171.18976]","[55.399117, 74.53289, 74.284546, 93.41619]",[154.77124 102.09064 180.18301 120.9426 ],16.359434843063354,0.0017399787902832031,"[0, 1]",0.0,"[0, 1]",0.0
4,backward (CROWN),1,0.04,True,brightness,"[[0, 13.816712, 0, 35.423878], [256, 219.72491, 256, 244.84294]]","[256, 219.72491, 256, 244.84294]","[0, 13.816712, 0, 35.423878]",[154.77124 102.09064 180.18301 120.9426 ],19.721373081207275,0.00164794921875,"[0, 1]",0.0,"[0, 1]",0.0
5,backward (CROWN),1,0.05,True,brightness,"[[0, 0, 0, 0], [256, 256, 256, 256]]","[256, 256, 256, 256]","[0, 0, 0, 0]",[154.77124 102.09064 180.18301 120.9426 ],21.31227707862854,0.0017242431640625,"[0, 1]",0.0,"[0, 1]",0.0
6,backward (CROWN),1,0.06,True,brightness,"[[0, 0, 0, 0], [256, 256, 256, 256]]","[256, 256, 256, 256]","[0, 0, 0, 0]",[154.77124 102.09064 180.18301 120.9426 ],23.09494972229004,0.0017142295837402344,"[0, 1]",0.0,"[0, 1]",0.0
7,backward (CROWN),1,0.07,True,brightness,"[[0, 0, 0, 0], [256, 256, 256, 256]]","[256, 256, 256, 256]","[0, 0, 0, 0]",[154.77124 102.09064 180.18301 120.9426 ],21.25529980659485,0.0014660358428955078,"[0, 1]",0.0,"[0, 1]",0.0
8,backward (CROWN),1,0.08,True,brightness,"[[0, 0, 0, 0], [256, 256, 256, 256]]","[256, 256, 256, 256]","[0, 0, 0, 0]",[154.77124 102.09064 180.18301 120.9426 ],24.97415328025818,0.0016949176788330078,"[0, 1]",0.0,"[0, 1]",0.0
9,backward (CROWN),1,0.09,True,brightness,"[[0, 0, 0, 0], [256, 256, 256, 256]]","[256, 256, 256, 256]","[0, 0, 0, 0]",[154.77124 102.09064 180.18301 120.9426 ],27.73485493659973,0.0017359256744384766,"[0, 1]",0.0,"[0, 1]",0.0
10,backward (CROWN),1,0.1,True,brightness,"[[0, 0, 0, 0], [256, 256, 256, 256]]","[256, 256, 256, 256]","[0, 0, 0, 0]",[154.77124 102.09064 180.18301 120.9426 ],30.71255588531494,0.0016820430755615234,"[0, 1]",0.0,"[0, 1]",0.0
