,method,image_id,eps,fake_iou,perturbation,bounds_clip,elapsed_time_perturbation,elapsed_time_eps_computed_ious,IoU_vanilla,tmps_vanilla,IoU_extension,tmps_extension
0,backward (CROWN),25,0.0,False,brightness,"[[57.587463, 116.960556, 75.984024, 131.28436], [57.587463, 116.960556, 75.984024, 131.28436]]",0.4255659580230713,0.011096954345703125,"[0.8484452099471148, 0.8484452099471148]",7.295608520507812e-05,"[0.8484452366828918, 0.84844524]",0.009028911590576172
1,backward (CROWN),25,0.002,False,brightness,"[[57.51014, 116.63794, 75.94247, 130.94724], [57.67243, 117.28275, 76.02071, 131.62025]]",3.701030731201172,0.011801958084106445,"[0.7701024002494682, 0.9385703754495611]",7.605552673339844e-05,"[0.80704265832901, 0.892019]",0.00966787338256836
2,backward (CROWN),25,0.004,False,brightness,"[[57.38495, 116.28861, 75.846405, 130.5802], [57.816944, 117.64068, 76.117546, 131.99286]]",5.407249927520752,0.01121973991394043,"[0.6607280135883982, 1]",7.581710815429688e-05,"[0.7594417333602905, 0.92695796]",0.009088993072509766
3,backward (CROWN),25,0.006,False,brightness,"[[57.176388, 115.91414, 75.693756, 130.18718], [58.015316, 118.0352, 76.28073, 132.40523]]",6.998444080352783,0.011317968368530273,"[0.5535575400546433, 1]",7.390975952148438e-05,"[0.7070081233978271, 0.9688477]",0.009172201156616211
4,backward (CROWN),25,0.008,False,brightness,"[[56.78582, 115.528465, 75.4499, 129.78262], [58.273888, 118.53741, 76.65008, 132.90833]]",8.021896839141846,0.01157379150390625,"[0.44710888520825337, 1]",0.00011801719665527344,"[0.6417242288589478, 0.9915598]",0.009332895278930664
5,backward (CROWN),25,0.01,False,brightness,"[[55.57039, 115.07564, 74.33609, 129.31636], [59.023182, 119.28601, 77.674034, 133.68102]]",8.992117166519165,0.011481761932373047,"[0.28877195440570713, 1]",7.987022399902344e-05,"[0.5342255234718323, 1.0]",0.009122133255004883
6,backward (CROWN),25,0.012,False,brightness,"[[53.36955, 114.50967, 72.20982, 128.72206], [60.840046, 120.41612, 79.53441, 134.94669]]",10.287688970565796,0.01111602783203125,"[0.13216643372580494, 1]",7.510185241699219e-05,"[0.3443661034107208, 1.0]",0.009012937545776367
7,backward (CROWN),25,0.014,False,brightness,"[[50.817883, 113.59663, 69.70192, 127.90526], [63.1806, 121.852684, 81.95847, 136.50165]]",11.093478918075562,0.011456966400146484,"[0.041634147827709904, 1]",7.486343383789062e-05,"[0.1439313441514969, 1.0]",0.009268999099731445
8,backward (CROWN),25,0.016,False,brightness,"[[47.697517, 112.4865, 66.34064, 126.703735], [66.004265, 123.504715, 85.39676, 138.39891]]",11.168378829956055,0.011106014251708984,"[0.0008608252877543018, 1]",7.104873657226562e-05,"[0.003923892043530941, 1.0]",0.009044170379638672
9,backward (CROWN),25,0.018000000000000002,True,brightness,"[[42.798367, 111.13583, 61.468956, 125.09255], [70.48236, 126.002464, 90.53492, 141.22627]]",11.739490032196045,0.001725912094116211,"[0, 1]",0.0,"[0, 1]",0.0
10,backward (CROWN),25,0.02,True,brightness,"[[36.07286, 109.40546, 54.65622, 123.04753], [77.27346, 129.6191, 98.11471, 145.3614]]",13.029555320739746,0.001667022705078125,"[0, 1]",0.0,"[0, 1]",0.0
