,method,image_id,eps,fake_iou,perturbation,bounds_clip,elapsed_time_perturbation,elapsed_time_eps_computed_ious,IoU_vanilla,tmps_vanilla,IoU_extension,tmps_extension
0,backward (CROWN),1,0.0,False,contrast,"[[155.17888, 102.811485, 180.28995, 121.74541], [155.17888, 102.811485, 180.28995, 121.74541]]",0.4285128116607666,0.010875225067138672,"[0.9046069211142195, 0.9046069211142195]",7.081031799316406e-05,"[0.9046069383621216, 0.90460694]",0.008755922317504883
1,backward (CROWN),1,0.01,False,contrast,"[[154.97247, 102.489006, 180.17108, 121.45477], [155.35039, 103.14785, 180.34938, 122.03782]]",3.836282968521118,0.009649038314819336,"[0.8279306297829575, 0.9935880318618334]",6.318092346191406e-05,"[0.8674694299697876, 0.9456293]",0.007747650146484375
2,backward (CROWN),1,0.02,False,contrast,"[[154.60043, 102.11871, 179.87549, 121.10754], [155.64102, 103.561584, 180.54352, 122.393394]]",5.0032103061676025,0.009830951690673828,"[0.721476414645595, 1]",6.389617919921875e-05,"[0.8180261254310608, 0.98985034]",0.007927179336547852
3,backward (CROWN),1,0.03,False,contrast,"[[154.07832, 101.699036, 179.42407, 120.70176], [156.06924, 104.038445, 180.87529, 122.81227]]",5.800708055496216,0.010754108428955078,"[0.5935496023604426, 1]",7.104873657226562e-05,"[0.7552566528320312, 1.0]",0.008682966232299805
4,backward (CROWN),1,0.04,False,contrast,"[[153.35435, 101.21398, 178.75583, 120.21684], [156.66809, 104.57861, 181.34343, 123.2959]]",6.004438877105713,0.009729862213134766,"[0.4595086258624036, 1]",6.389617919921875e-05,"[0.6806319355964661, 1.0]",0.0077838897705078125
5,backward (CROWN),1,0.05,False,contrast,"[[152.49008, 100.761345, 177.89671, 119.736824], [157.37361, 105.17529, 182.06128, 123.83824]]",6.800705671310425,0.009693145751953125,"[0.3464398219971141, 1]",6.389617919921875e-05,"[0.6009291410446167, 1.0]",0.0077970027923583984
6,backward (CROWN),1,0.06,False,contrast,"[[151.37413, 100.12945, 176.81743, 119.099396], [158.22285, 105.82887, 182.85818, 124.44082]]",7.411634922027588,0.009757041931152344,"[0.24732300463366122, 1]",6.604194641113281e-05,"[0.5150896310806274, 1.0]",0.007824182510375977
7,backward (CROWN),1,0.07,False,contrast,"[[150.01553, 99.39349, 175.49788, 118.38309], [159.2833, 106.55603, 183.92986, 125.11545]]",8.221431970596313,0.010532855987548828,"[0.16537190893455997, 1]",7.200241088867188e-05,"[0.40030503273010254, 1.0]",0.008447885513305664
8,backward (CROWN),1,0.08,False,contrast,"[[148.49506, 98.5747, 174.00421, 117.58212], [160.44412, 107.361046, 185.20088, 125.87364]]",8.74862003326416,0.010589122772216797,"[0.10323978759566543, 1]",7.176399230957031e-05,"[0.28931283950805664, 1.0]",0.008486270904541016
9,backward (CROWN),1,0.09,False,contrast,"[[146.78314, 97.67421, 172.29854, 116.69176], [161.74693, 108.21325, 186.84004, 126.67431]]",9.577567100524902,0.010421037673950195,"[0.057670680425487446, 1]",7.224082946777344e-05,"[0.18674392998218536, 1.0]",0.008354902267456055
10,backward (CROWN),1,0.1,False,contrast,"[[144.72427, 96.68141, 170.23953, 115.70053], [163.2187, 109.11702, 188.7051, 127.5317]]",10.24836802482605,0.011220932006835938,"[0.025827073088681717, 1]",7.390975952148438e-05,"[0.09648382663726807, 1.0]",0.009046077728271484
