,method,image_id,eps,fake_iou,perturbation,bounds_clip,elapsed_time_perturbation,elapsed_time_eps_computed_ious,IoU_vanilla,tmps_vanilla,IoU_extension,tmps_extension
0,backward (CROWN),28,0.0,True,whitenoise,"[[97.47142, 104.07785, 114.607956, 119.10321], [97.47142, 104.07784, 114.607956, 119.1032]]",0.39783406257629395,0.00013399124145507812,"[0, 1]",0.0,"[0, 1]",0.0
1,backward (CROWN),28,0.0002,False,whitenoise,"[[96.587814, 103.73226, 113.64625, 118.69576], [98.35456, 104.425514, 115.569016, 119.512856]]",0.7888948917388916,0.01172184944152832,"[0.633382704177824, 1]",7.82012939453125e-05,"[0.7799361944198608, 0.9762939]",0.00960397720336914
2,backward (CROWN),28,0.0004,False,whitenoise,"[[95.68124, 103.38108, 112.6596, 118.28098], [99.258804, 104.78471, 116.554306, 119.93639]]",1.0242290496826172,0.010757923126220703,"[0.4255432377950558, 1]",7.915496826171875e-05,"[0.6672236323356628, 1.0]",0.008563041687011719
3,backward (CROWN),28,0.0006000000000000001,False,whitenoise,"[[94.75017, 103.022934, 111.64648, 117.85707], [100.18713, 105.15847, 117.56598, 120.37776]]",1.2094647884368896,0.00939488410949707,"[0.28490482084052965, 1]",6.508827209472656e-05,"[0.5501858592033386, 1.0]",0.007539033889770508
4,backward (CROWN),28,0.0008,False,whitenoise,"[[93.79567, 102.658394, 110.609024, 117.42456], [101.1432, 105.549126, 118.60891, 120.83926]]",1.5897190570831299,0.010899066925048828,"[0.18765547209821587, 1]",7.796287536621094e-05,"[0.43183091282844543, 1.0]",0.008744955062866211
5,backward (CROWN),28,0.001,False,whitenoise,"[[92.81781, 102.28655, 109.54576, 116.982315], [102.183876, 105.95826, 119.74977, 121.32347]]",1.871150016784668,0.010622024536132812,"[0.11730457968611854, 1]",7.486343383789062e-05,"[0.3117714524269104, 1.0]",0.008547067642211914
6,backward (CROWN),28,0.0012000000000000001,False,whitenoise,"[[91.81574, 101.90832, 108.45623, 116.532074], [103.32929, 106.3868, 121.013695, 121.8334]]",2.251392126083374,0.010081052780151367,"[0.06583495023676472, 1]",7.200241088867188e-05,"[0.1998147815465927, 1.0]",0.008064985275268555
7,backward (CROWN),28,0.0014,False,whitenoise,"[[90.75121, 101.49995, 107.339714, 116.07431], [104.51114, 106.83467, 122.32804, 122.375824]]",2.628007173538208,0.009413957595825195,"[0.029254383654615277, 1]",6.604194641113281e-05,"[0.10039883852005005, 1.0]",0.007529020309448242
8,backward (CROWN),28,0.0016,False,whitenoise,"[[89.65166, 101.08294, 106.18852, 115.60368], [105.73626, 107.30852, 123.69613, 122.94289]]",2.9872920513153076,0.01049184799194336,"[0.0037487068700139893, 1]",7.486343383789062e-05,"[0.0144119244068861, 1.0]",0.008471250534057617
9,backward (CROWN),28,0.0018000000000000002,True,whitenoise,"[[88.5105, 100.65592, 104.9959, 115.115944], [107.00847, 107.81537, 125.12443, 123.53821]]",3.163074016571045,0.0015420913696289062,"[0, 1]",0.0,"[0, 1]",0.0
10,backward (CROWN),28,0.002,True,whitenoise,"[[87.32707, 100.192566, 103.76015, 114.58478], [108.408875, 108.34954, 126.66116, 124.165115]]",3.589846134185791,0.0016131401062011719,"[0, 1]",0.0,"[0, 1]",0.0
