,method,image_id,eps,fake_iou,perturbation,bounds_clip,elapsed_time_perturbation,elapsed_time_eps_computed_ious,IoU_vanilla,tmps_vanilla,IoU_extension,tmps_extension
0,IBP+backward (CROWN-IBP),32,0.0,False,brightness,"[[114.79707, 107.09569, 138.20929, 120.7712], [114.79707, 107.09569, 138.20929, 120.7712]]",0.32977986335754395,0.009595870971679688,"[0.8743296573655267, 0.8743296573655267]",6.389617919921875e-05,"[0.874329686164856, 0.8743297]",0.007803201675415039
1,IBP+backward (CROWN-IBP),32,0.002,True,brightness,"[[0, 41.1413, 29.806303, 63.39828], [240.53429, 197.19035, 256, 205.58667]]",0.3540799617767334,0.001413106918334961,"[0, 1]",0.0,"[0, 1]",0.0
2,IBP+backward (CROWN-IBP),32,0.004,True,brightness,"[[0, 0, 0, 0], [256, 256, 256, 256]]",0.36649107933044434,0.0014297962188720703,"[0, 1]",0.0,"[0, 1]",0.0
3,IBP+backward (CROWN-IBP),32,0.006,True,brightness,"[[0, 0, 0, 0], [256, 256, 256, 256]]",0.339979887008667,0.0014231204986572266,"[0, 1]",0.0,"[0, 1]",0.0
4,IBP+backward (CROWN-IBP),32,0.008,True,brightness,"[[0, 0, 0, 0], [256, 256, 256, 256]]",0.35599303245544434,0.0014181137084960938,"[0, 1]",0.0,"[0, 1]",0.0
5,IBP+backward (CROWN-IBP),32,0.01,True,brightness,"[[0, 0, 0, 0], [256, 256, 256, 256]]",0.3499281406402588,0.0014870166778564453,"[0, 1]",0.0,"[0, 1]",0.0
6,IBP+backward (CROWN-IBP),32,0.012,True,brightness,"[[0, 0, 0, 0], [256, 256, 256, 256]]",0.3522210121154785,0.0014159679412841797,"[0, 1]",0.0,"[0, 1]",0.0
7,IBP+backward (CROWN-IBP),32,0.014,True,brightness,"[[0, 0, 0, 0], [256, 256, 256, 256]]",0.3569347858428955,0.0014090538024902344,"[0, 1]",0.0,"[0, 1]",0.0
8,IBP+backward (CROWN-IBP),32,0.016,True,brightness,"[[0, 0, 0, 0], [256, 256, 256, 256]]",0.32808494567871094,0.0013990402221679688,"[0, 1]",0.0,"[0, 1]",0.0
9,IBP+backward (CROWN-IBP),32,0.018000000000000002,True,brightness,"[[0, 0, 0, 0], [256, 256, 256, 256]]",0.3521401882171631,0.0014128684997558594,"[0, 1]",0.0,"[0, 1]",0.0
10,IBP+backward (CROWN-IBP),32,0.02,True,brightness,"[[0, 0, 0, 0], [256, 256, 256, 256]]",0.3466670513153076,0.0014240741729736328,"[0, 1]",0.0,"[0, 1]",0.0
