,method,image_id,eps,fake_iou,perturbation,bounds_clip,elapsed_time_perturbation,elapsed_time_eps_computed_ious,IoU_vanilla,tmps_vanilla,IoU_extension,tmps_extension
0,IBP+backward (CROWN-IBP),18,0.0,False,whitenoise,"[[63.32218, 110.51745, 96.767136, 124.79574], [63.32218, 110.51745, 96.767136, 124.79574]]",0.35607004165649414,0.009618043899536133,"[0.9117035095830492, 0.9117035095830492]",6.413459777832031e-05,"[0.9117035269737244, 0.9117035]",0.007723093032836914
1,IBP+backward (CROWN-IBP),18,0.0002,False,whitenoise,"[[61.029625, 109.347725, 93.44816, 122.534836], [69.48519, 112.84223, 102.81138, 127.05239]]",0.41791296005249023,0.009679079055786133,"[0.23591352834925514, 1]",6.794929504394531e-05,"[0.4790229797363281, 1.0]",0.007882118225097656
2,IBP+backward (CROWN-IBP),18,0.0004,True,whitenoise,"[[56.445625, 105.77741, 87.22612, 118.67051], [88.587814, 118.490234, 121.45632, 134.63345]]",0.3741319179534912,0.0016109943389892578,"[0, 1]",0.0,"[0, 1]",0.0
3,IBP+backward (CROWN-IBP),18,0.0006000000000000001,True,whitenoise,"[[43.139343, 95.58948, 73.13129, 110.612495], [116.353615, 130.62387, 152.891, 147.66406]]",0.37631821632385254,0.0015108585357666016,"[0, 1]",0.0,"[0, 1]",0.0
4,IBP+backward (CROWN-IBP),18,0.0008,True,whitenoise,"[[9.395317, 79.53354, 42.358177, 94.60119], [153.29112, 156.91989, 196.06439, 170.91858]]",0.3721342086791992,0.001687765121459961,"[0, 1]",0.0,"[0, 1]",0.0
5,IBP+backward (CROWN-IBP),18,0.001,True,whitenoise,"[[0, 57.177174, 0.95983887, 70.531105], [196.49132, 189.81383, 248.43231, 200.84213]]",0.396589994430542,0.002602100372314453,"[0, 1]",0.0,"[0, 1]",0.0
6,IBP+backward (CROWN-IBP),18,0.0012000000000000001,True,whitenoise,"[[0, 30.3482, 0, 44.13882], [246.64856, 228.66516, 256, 237.89111]]",0.35318994522094727,0.001390695571899414,"[0, 1]",0.0,"[0, 1]",0.0
7,IBP+backward (CROWN-IBP),18,0.0014,True,whitenoise,"[[0, 0, 0, 13.820648], [256, 256, 256, 256]]",0.35696983337402344,0.0014369487762451172,"[0, 1]",0.0,"[0, 1]",0.0
8,IBP+backward (CROWN-IBP),18,0.0016,True,whitenoise,"[[0, 0, 0, 0], [256, 256, 256, 256]]",0.37635111808776855,0.0015978813171386719,"[0, 1]",0.0,"[0, 1]",0.0
9,IBP+backward (CROWN-IBP),18,0.0018000000000000002,True,whitenoise,"[[0, 0, 0, 0], [256, 256, 256, 256]]",0.3491530418395996,0.0014147758483886719,"[0, 1]",0.0,"[0, 1]",0.0
10,IBP+backward (CROWN-IBP),18,0.002,True,whitenoise,"[[0, 0, 0, 0], [256, 256, 256, 256]]",0.3522300720214844,0.0014271736145019531,"[0, 1]",0.0,"[0, 1]",0.0
