,method,image_id,gt_logit,eps,fake_iou,perturbation,bounds_clip,elapsed_time_perturbation,elapsed_time_eps_computed_ious,IoU_vanilla,tmps_vanilla,IoU_extension,tmps_extension
0,IBP,1,0,0.0,False,contrast,"[[35.84602, 15.958754, 64.31985, 44.536785], [35.84602, 15.958754, 64.31985, 44.536785]]",0.0936272144317627,0.015021562576293945,"[0.8504010111163419, 0.8504010111163419]",9.512901306152344e-05,"[0.850400984287262, 0.850401]",0.011989831924438477
1,IBP,1,0,0.02,True,contrast,"[[16.25153, 0.32898736, 33.801083, 20.355623], [57.671925, 33.366863, 90, 73.37228]]",0.09535765647888184,0.0017893314361572266,"[0, 1]",0.0,"[0, 1]",0.0
2,IBP,1,0,0.04,True,contrast,"[[1.0971568, 0, 11.13747, 1.8921895], [83.330696, 54.121876, 90, 90]]",0.09869933128356934,0.00176239013671875,"[0, 1]",0.0,"[0, 1]",0.0
3,IBP,1,0,0.06,True,contrast,"[[0, 0, 0, 0], [90, 80.90881, 90, 90]]",0.08812141418457031,0.001817941665649414,"[0, 1]",0.0,"[0, 1]",0.0
4,IBP,1,0,0.08,True,contrast,"[[0, 0, 0, 0], [90, 90, 90, 90]]",0.10449337959289551,0.0018017292022705078,"[0, 1]",0.0,"[0, 1]",0.0
5,IBP,1,0,0.1,True,contrast,"[[0, 0, 0, 0], [90, 90, 90, 90]]",0.08812761306762695,0.001718759536743164,"[0, 1]",0.0,"[0, 1]",0.0
6,IBP,1,0,0.12,True,contrast,"[[0, 0, 0, 0], [90, 90, 90, 90]]",0.10267162322998047,0.0023241043090820312,"[0, 1]",0.0,"[0, 1]",0.0
7,IBP,1,0,0.14,True,contrast,"[[0, 0, 0, 0], [90, 90, 90, 90]]",0.11022639274597168,0.0018591880798339844,"[0, 1]",0.0,"[0, 1]",0.0
8,IBP,1,0,0.16,True,contrast,"[[0, 0, 0, 0], [90, 90, 90, 90]]",0.0940248966217041,0.0018277168273925781,"[0, 1]",0.0,"[0, 1]",0.0
9,IBP,1,0,0.18,True,contrast,"[[0, 0, 0, 0], [90, 90, 90, 90]]",0.08240795135498047,0.0017719268798828125,"[0, 1]",0.0,"[0, 1]",0.0
10,IBP,1,0,0.2,True,contrast,"[[0, 0, 0, 0], [90, 90, 90, 90]]",0.10245251655578613,0.002899646759033203,"[0, 1]",0.0,"[0, 1]",0.0
11,IBP+backward (CROWN-IBP),1,0,0.0,False,contrast,"[[35.846024, 15.958754, 64.319855, 44.536785], [35.846024, 15.958754, 64.319855, 44.536785]]",0.12212562561035156,0.014184713363647461,"[0.8504006292896796, 0.8504006292896796]",8.678436279296875e-05,"[0.8504006266593933, 0.8504006]",0.011595010757446289
12,IBP+backward (CROWN-IBP),1,0,0.02,False,contrast,"[[34.304577, 14.740206, 62.604164, 43.283154], [38.77989, 18.784912, 69.282, 49.443985]]",0.11694025993347168,0.013080596923828125,"[0.4060031755042543, 1]",7.295608520507812e-05,"[0.517794132232666, 0.9899887]",0.010624170303344727
13,IBP+backward (CROWN-IBP),1,0,0.04,False,contrast,"[[31.02641, 12.079805, 59.1875, 40.43631], [47.99986, 26.05204, 83.00201, 61.42633]]",0.10260534286499023,0.013187170028686523,"[0.050480437858613156, 1]",7.152557373046875e-05,"[0.14379431307315826, 1.0]",0.010728836059570312
14,IBP+backward (CROWN-IBP),1,0,0.06,True,contrast,"[[25.461458, 8.278711, 53.84575, 36.60794], [61.19256, 37.844215, 90, 78.85481]]",0.12477469444274902,0.0020842552185058594,"[0, 1]",0.0,"[0, 1]",0.0
15,IBP+backward (CROWN-IBP),1,0,0.08,True,contrast,"[[19.369516, 4.023217, 48.091255, 32.490967], [76.37065, 52.43173, 90, 90]]",0.10855579376220703,0.002027273178100586,"[0, 1]",0.0,"[0, 1]",0.0
16,IBP+backward (CROWN-IBP),1,0,0.1,True,contrast,"[[12.736037, 0, 41.62973, 27.526857], [90, 68.26065, 90, 90]]",0.13826799392700195,0.0021736621856689453,"[0, 1]",0.0,"[0, 1]",0.0
17,IBP+backward (CROWN-IBP),1,0,0.12,True,contrast,"[[5.8268223, 0, 35.05925, 22.682735], [90, 84.49032, 90, 90]]",0.10647702217102051,0.0020477771759033203,"[0, 1]",0.0,"[0, 1]",0.0
18,IBP+backward (CROWN-IBP),1,0,0.14,True,contrast,"[[0, 0, 28.486315, 16.850552], [90, 90, 90, 90]]",0.0995035171508789,0.001999378204345703,"[0, 1]",0.0,"[0, 1]",0.0
19,IBP+backward (CROWN-IBP),1,0,0.16,True,contrast,"[[0, 0, 21.719866, 12.572613], [90, 90, 90, 90]]",0.10653996467590332,0.0019693374633789062,"[0, 1]",0.0,"[0, 1]",0.0
20,IBP+backward (CROWN-IBP),1,0,0.18,True,contrast,"[[0, 0, 14.334893, 6.089304], [90, 90, 90, 90]]",0.09975957870483398,0.0020339488983154297,"[0, 1]",0.0,"[0, 1]",0.0
21,IBP+backward (CROWN-IBP),1,0,0.2,True,contrast,"[[0, 0, 8.028618, 1.6963825], [90, 90, 90, 90]]",0.11735844612121582,0.0021011829376220703,"[0, 1]",0.0,"[0, 1]",0.0
22,backward (CROWN),1,0,0.0,False,contrast,"[[35.846024, 15.958754, 64.319855, 44.536785], [35.846024, 15.958754, 64.319855, 44.536785]]",0.4603896141052246,0.013158559799194336,"[0.8504006292896796, 0.8504006292896796]",7.224082946777344e-05,"[0.8504006266593933, 0.8504006]",0.010682106018066406
23,backward (CROWN),1,0,0.02,False,contrast,"[[35.684143, 15.798618, 64.045, 44.262863], [35.942764, 16.099129, 64.512085, 44.77843]]",0.5084760189056396,0.013651132583618164,"[0.8163881697520087, 0.8925972818934947]",7.62939453125e-05,"[0.8313829302787781, 0.87596434]",0.010924816131591797
24,backward (CROWN),1,0,0.04,False,contrast,"[[35.459946, 15.569297, 63.692097, 43.93847], [36.066444, 16.257843, 64.75302, 45.05695]]",0.5682439804077148,0.013262748718261719,"[0.7765431976905254, 0.952336468373184]",7.319450378417969e-05,"[0.8093857765197754, 0.9107433]",0.010770797729492188
25,backward (CROWN),1,0,0.06,False,contrast,"[[35.104168, 15.281748, 63.161556, 43.52809], [36.3889, 16.465015, 65.17429, 45.43744]]",0.5815773010253906,0.01844310760498047,"[0.7171256296383353, 1]",0.00010800361633300781,"[0.7743809819221497, 0.96256524]",0.012735605239868164
26,backward (CROWN),1,0,0.08,False,contrast,"[[34.640938, 14.894087, 62.5367, 43.03042], [36.955532, 16.75034, 65.92638, 46.01184]]",0.6574139595031738,0.014218330383300781,"[0.6183010775554907, 1]",8.177757263183594e-05,"[0.7211039066314697, 0.99891484]",0.011072397232055664
27,backward (CROWN),1,0,0.1,False,contrast,"[[33.89183, 14.3864355, 61.563435, 42.338554], [37.96522, 17.527102, 67.56553, 47.06204]]",0.6980767250061035,0.015167236328125,"[0.45080452253329456, 1]",8.20159912109375e-05,"[0.6248766779899597, 1.0]",0.011343955993652344
28,backward (CROWN),1,0,0.12,False,contrast,"[[32.879997, 13.533138, 60.246433, 41.30793], [39.53087, 18.93097, 70.212685, 49.458027]]",0.751190185546875,0.013210773468017578,"[0.2789753688675163, 1]",7.390975952148438e-05,"[0.4887571930885315, 1.0]",0.010659456253051758
29,backward (CROWN),1,0,0.14,False,contrast,"[[31.79628, 12.634729, 58.943752, 40.217644], [41.70694, 20.642963, 73.851654, 52.684364]]",0.9206368923187256,0.014610052108764648,"[0.15833943045930893, 1]",8.082389831542969e-05,"[0.35581541061401367, 1.0]",0.011145353317260742
30,backward (CROWN),1,0,0.16,False,contrast,"[[30.572666, 11.633801, 57.5382, 39.08022], [44.683052, 22.843647, 78.54044, 56.7041]]",0.9953017234802246,0.013012886047363281,"[0.07625444128451292, 1]",7.271766662597656e-05,"[0.23648300766944885, 1.0]",0.010504484176635742
31,backward (CROWN),1,0,0.18,False,contrast,"[[28.864597, 10.218912, 55.5604, 37.389103], [48.50058, 25.51237, 83.96909, 61.06507]]",1.0758552551269531,0.012653589248657227,"[0.023942739788388488, 1]",6.914138793945312e-05,"[0.10694844275712967, 1.0]",0.010355949401855469
32,backward (CROWN),1,0,0.2,False,contrast,"[[27.16325, 8.75655, 53.77252, 35.899258], [53.322727, 28.791573, 90, 66.509575]]",1.1412091255187988,0.014876604080200195,"[0.0007249673877339133, 1]",0.00010395050048828125,"[0.004077770747244358, 1.0]",0.01139068603515625
